shape,variant,us,eff_GBps
4096x12288,cublas-bf16,588.7,171.0
4096x12288,torch._scaled_mm-fp8,400.6,125.6
4096x12288,shipped-w8a16-triton,210.6,239.0
4096x12288,row BO8 BI256 w1 s1,227.8,220.9
4096x12288,row BO8 BI256 w1 s1.cg,227.5,221.2
4096x12288,row BO8 BI256 w1 s2,227.2,221.5
4096x12288,row BO8 BI256 w1 s2.cg,227.7,221.1
4096x12288,row BO8 BI256 w1 s3,227.4,221.3
4096x12288,row BO8 BI256 w1 s3.cg,232.9,216.2
4096x12288,row BO8 BI256 w1 s4,227.0,221.7
4096x12288,row BO8 BI256 w1 s4.cg,227.5,221.2
4096x12288,row BO8 BI256 w2 s1,222.8,225.9
4096x12288,row BO8 BI256 w2 s1.cg,223.5,225.2
4096x12288,row BO8 BI256 w2 s2,228.9,219.8
4096x12288,row BO8 BI256 w2 s2.cg,223.8,224.9
4096x12288,row BO8 BI256 w2 s3,223.9,224.8
4096x12288,row BO8 BI256 w2 s3.cg,223.6,225.1
4096x12288,row BO8 BI256 w2 s4,222.5,226.2
4096x12288,row BO8 BI256 w2 s4.cg,224.1,224.6
4096x12288,row BO8 BI256 w4 s1,218.8,230.0
4096x12288,row BO8 BI256 w4 s1.cg,224.5,224.2
4096x12288,row BO8 BI256 w4 s2,225.3,223.4
4096x12288,row BO8 BI256 w4 s2.cg,230.2,218.6
4096x12288,row BO8 BI256 w4 s3,218.7,230.2
4096x12288,row BO8 BI256 w4 s3.cg,227.0,221.8
4096x12288,row BO8 BI256 w4 s4,218.9,229.9
4096x12288,row BO8 BI256 w4 s4.cg,228.4,220.4
4096x12288,row BO8 BI256 w8 s1,213.4,235.8
4096x12288,row BO8 BI256 w8 s1.cg,221.7,227.0
4096x12288,row BO8 BI256 w8 s2,209.2,240.5
4096x12288,row BO8 BI256 w8 s2.cg,217.3,231.6
4096x12288,row BO8 BI256 w8 s3,206.5,243.7
4096x12288,row BO8 BI256 w8 s3.cg,220.1,228.7
4096x12288,row BO8 BI256 w8 s4,204.2,246.5
4096x12288,row BO8 BI256 w8 s4.cg,220.2,228.6
4096x12288,row BO8 BI512 w1 s1,206.8,243.3
4096x12288,row BO8 BI512 w1 s1.cg,204.6,246.0
4096x12288,row BO8 BI512 w1 s2,204.8,245.8
4096x12288,row BO8 BI512 w1 s2.cg,204.6,246.0
4096x12288,row BO8 BI512 w1 s3,204.9,245.6
4096x12288,row BO8 BI512 w1 s3.cg,212.4,236.9
4096x12288,row BO8 BI512 w1 s4,204.4,246.2
4096x12288,row BO8 BI512 w1 s4.cg,206.2,244.1
4096x12288,row BO8 BI512 w2 s1,207.5,242.5
4096x12288,row BO8 BI512 w2 s1.cg,207.2,242.9
4096x12288,row BO8 BI512 w2 s2,207.7,242.4
4096x12288,row BO8 BI512 w2 s2.cg,209.8,239.9
4096x12288,row BO8 BI512 w2 s3,207.5,242.6
4096x12288,row BO8 BI512 w2 s3.cg,207.4,242.7
4096x12288,row BO8 BI512 w2 s4,207.4,242.7
4096x12288,row BO8 BI512 w2 s4.cg,207.3,242.8
4096x12288,row BO8 BI512 w4 s1,205.3,245.2
4096x12288,row BO8 BI512 w4 s1.cg,206.0,244.3
4096x12288,row BO8 BI512 w4 s2,208.7,241.2
4096x12288,row BO8 BI512 w4 s2.cg,206.4,243.8
4096x12288,row BO8 BI512 w4 s3,205.4,245.1
4096x12288,row BO8 BI512 w4 s3.cg,204.1,246.6
4096x12288,row BO8 BI512 w4 s4,205.1,245.4
4096x12288,row BO8 BI512 w4 s4.cg,205.5,244.9
4096x12288,row BO8 BI512 w8 s1,207.1,243.0
4096x12288,row BO8 BI512 w8 s1.cg,212.1,237.3
4096x12288,row BO8 BI512 w8 s2,202.8,248.2
4096x12288,row BO8 BI512 w8 s2.cg,205.2,245.2
4096x12288,row BO8 BI512 w8 s3,208.8,241.0
4096x12288,row BO8 BI512 w8 s3.cg,205.3,245.1
4096x12288,row BO8 BI512 w8 s4,203.1,247.8
4096x12288,row BO8 BI512 w8 s4.cg,207.6,242.4
4096x12288,row BO8 BI1024 w1 s1,204.5,246.2
4096x12288,row BO8 BI1024 w1 s1.cg,204.4,246.2
4096x12288,row BO8 BI1024 w1 s2,205.0,245.5
4096x12288,row BO8 BI1024 w1 s2.cg,204.3,246.4
4096x12288,row BO8 BI1024 w1 s3,204.3,246.4
4096x12288,row BO8 BI1024 w1 s3.cg,204.4,246.2
4096x12288,row BO8 BI1024 w1 s4,212.0,237.4
4096x12288,row BO8 BI1024 w1 s4.cg,204.1,246.6
4096x12288,row BO8 BI1024 w2 s1,207.6,242.4
