shape,variant,us,eff_GBps
4096x12288,cublas-bf16,597.2,168.5
4096x12288,torch._scaled_mm-fp8,350.0,143.8
4096x12288,shipped-w8a16-triton,212.9,236.5
4096x12288,row BO8 BI256 w1 s1,227.7,221.1
4096x12288,row BO8 BI256 w1 s1.cg,221.4,227.3
4096x12288,row BO8 BI256 w1 s2,223.2,225.5
4096x12288,row BO8 BI256 w1 s2.cg,232.7,216.3
4096x12288,row BO8 BI256 w1 s3,227.3,221.4
4096x12288,row BO8 BI256 w1 s3.cg,221.6,227.2
4096x12288,row BO8 BI256 w1 s4,221.8,226.9
4096x12288,row BO8 BI256 w1 s4.cg,221.8,226.9
4096x12288,row BO8 BI256 w2 s1,222.1,226.6
4096x12288,row BO8 BI256 w2 s1.cg,230.2,218.6
4096x12288,row BO8 BI256 w2 s2,224.5,224.2
4096x12288,row BO8 BI256 w2 s2.cg,219.2,229.6
4096x12288,row BO8 BI256 w2 s3,220.7,228.1
4096x12288,row BO8 BI256 w2 s3.cg,219.2,229.6
4096x12288,row BO8 BI256 w2 s4,221.7,227.0
4096x12288,row BO8 BI256 w2 s4.cg,219.1,229.7
4096x12288,row BO8 BI256 w4 s1,223.1,225.6
4096x12288,row BO8 BI256 w4 s1.cg,223.4,225.3
4096x12288,row BO8 BI256 w4 s2,222.5,226.2
4096x12288,row BO8 BI256 w4 s2.cg,225.3,223.3
4096x12288,row BO8 BI256 w4 s3,222.1,226.6
4096x12288,row BO8 BI256 w4 s3.cg,223.5,225.2
4096x12288,row BO8 BI256 w4 s4,222.6,226.1
4096x12288,row BO8 BI256 w4 s4.cg,227.2,221.5
4096x12288,row BO8 BI256 w8 s1,213.1,236.2
4096x12288,row BO8 BI256 w8 s1.cg,218.1,230.8
4096x12288,row BO8 BI256 w8 s2,212.6,236.7
4096x12288,row BO8 BI256 w8 s2.cg,222.2,226.5
4096x12288,row BO8 BI256 w8 s3,220.8,227.9
4096x12288,row BO8 BI256 w8 s3.cg,220.9,227.9
4096x12288,row BO8 BI256 w8 s4,212.7,236.6
4096x12288,row BO8 BI256 w8 s4.cg,226.3,222.4
4096x12288,row BO8 BI512 w1 s1,215.6,233.5
4096x12288,row BO8 BI512 w1 s1.cg,215.5,233.6
4096x12288,row BO8 BI512 w1 s2,212.0,237.4
4096x12288,row BO8 BI512 w1 s2.cg,211.7,237.8
4096x12288,row BO8 BI512 w1 s3,212.0,237.4
4096x12288,row BO8 BI512 w1 s3.cg,211.7,237.7
4096x12288,row BO8 BI512 w1 s4,211.7,237.7
4096x12288,row BO8 BI512 w1 s4.cg,211.7,237.7
4096x12288,row BO8 BI512 w2 s1,216.6,232.3
4096x12288,row BO8 BI512 w2 s1.cg,216.5,232.5
