frame_idx,t_wall_s,opus_ms,encode_main_ms,encode_other_ms,step_ms,decode_main_ms,decode_other_ms,d2h_ms,total_ms,warm
0,0.065764,0.0,2.5784,0.0,61.2873,1.5289,0.0,0.0553,65.6553,0
1,0.12752,0.0,2.0566,0.0,58.066,1.4665,0.0,0.0269,61.6937,0
2,1.315105,0.0,1.8252,0.0,58.0203,1127.5666,0.0,0.0816,1187.5691,0
3,1.37821,0.0,2.63,0.0,58.7498,1.5389,0.0,0.0301,63.0799,0
4,1.440417,0.0,1.9634,0.0,58.6506,1.4681,0.0,0.0261,62.1895,0
5,1.502476,0.0,1.8247,0.0,58.6684,1.4551,0.0,0.0234,62.0445,0
6,1.563855,0.0,1.7928,0.0,58.033,1.4466,0.0,0.0227,61.3641,0
7,1.625755,0.0,1.7964,0.0,58.5536,1.4444,0.0,0.0219,61.8854,0
8,1.687103,0.0,1.7876,0.0,58.011,1.4439,0.0,0.021,61.3346,0
9,1.749073,0.0,1.778,0.0,58.6403,1.4443,0.0,0.0216,61.9548,0
10,1.811247,0.0,1.7791,0.0,58.8497,1.4443,0.0,0.0215,62.1603,0
11,1.872628,0.0,1.772,0.0,58.062,1.4458,0.0,0.0215,61.3676,0
12,1.933999,0.0,1.7766,0.0,58.0521,1.4391,0.0,0.0216,61.3562,0
13,1.995318,0.0,1.7846,0.0,57.9819,1.4517,0.0,0.021,61.3057,0
14,2.057147,0.0,1.7753,0.0,58.4603,1.4418,0.0,0.0216,61.8158,0
15,2.11847,0.0,1.7845,0.0,57.994,1.443,0.0,0.0211,61.3087,0
16,2.179792,0.0,1.7708,0.0,58.0104,1.4415,0.0,0.021,61.3096,0
17,2.241083,0.0,1.7729,0.0,57.9761,1.4403,0.0,0.022,61.2778,0
18,2.303324,0.0,1.7829,0.0,58.9139,1.4433,0.0,0.0213,62.227,0
19,2.36472,0.0,1.7694,0.0,58.0884,1.439,0.0,0.0206,61.3831,0
20,2.426007,0.0,1.7716,0.0,57.9769,1.439,0.0,0.0212,61.2733,0
21,2.487316,0.0,1.779,0.0,57.9905,1.4398,0.0,0.0206,61.2956,0
22,2.54868,0.0,1.7711,0.0,58.0546,1.4397,0.0,0.021,61.3514,0
23,2.610013,0.0,1.7672,0.0,58.0298,1.4376,0.0,0.0212,61.3205,0
24,2.671362,0.0,1.7868,0.0,58.0188,1.4427,0.0,0.0207,61.3353,0
25,2.732675,0.0,1.7646,0.0,58.0138,1.4382,0.0,0.0207,61.3013,1
26,2.794743,0.0,1.7745,0.0,58.7295,1.4643,0.0,0.0215,62.0555,1
27,2.856053,0.0,1.7789,0.0,57.984,1.4489,0.0,0.0204,61.2966,1
28,2.917447,0.0,1.7723,0.0,58.0762,1.443,0.0,0.0207,61.3813,1
29,2.978793,0.0,1.7738,0.0,58.0351,1.4375,0.0,0.0207,61.333,1
30,3.040155,0.0,1.7726,0.0,58.0543,1.439,0.0,0.0204,61.3501,1
31,3.101876,0.0,1.768,0.0,58.4126,1.4428,0.0,0.0208,61.7089,1
32,3.163224,0.0,1.7816,0.0,58.0303,1.4394,0.0,0.0207,61.3353,1
33,3.224624,0.0,1.7769,0.0,58.0851,1.4398,0.0,0.0213,61.3872,1
34,3.286767,0.0,1.7725,0.0,58.8317,1.4399,0.0,0.021,62.1298,1
35,3.34874,0.0,1.7809,0.0,58.6489,1.4446,0.0,0.0208,61.9599,1
36,3.410114,0.0,1.772,0.0,58.0597,1.4429,0.0,0.021,61.3611,1
37,3.471461,0.0,1.776,0.0,58.0244,1.4459,0.0,0.0216,61.3348,1
38,3.532969,0.0,1.7848,0.0,58.1842,1.4407,0.0,0.0206,61.4956,1
39,3.594377,0.0,1.775,0.0,58.0873,1.446,0.0,0.0203,61.3955,1
40,3.655799,0.0,1.799,0.0,58.0806,1.4435,0.0,0.0207,61.4091,1
41,3.717264,0.0,1.7895,0.0,58.1271,1.451,0.0,0.0205,61.4521,1
42,3.779487,0.0,1.7765,0.0,58.9005,1.4477,0.0,0.0205,62.2098,1
43,3.840898,0.0,1.7716,0.0,58.0978,1.4441,0.0,0.0205,61.3991,1
44,3.902241,0.0,1.78,0.0,58.0245,1.4394,0.0,0.0203,61.3295,1
45,3.963593,0.0,1.7848,0.0,58.0283,1.4416,0.0,0.0203,61.3392,1
46,4.025018,0.0,1.7704,0.0,58.1141,1.4442,0.0,0.0209,61.4132,1
47,4.086745,0.0,1.7753,0.0,58.4,1.4497,0.0,0.0208,61.715,1
48,4.148249,0.0,1.7751,0.0,58.1892,1.4434,0.0,0.0207,61.4915,1
49,4.209738,0.0,1.7767,0.0,58.1657,1.4502,0.0,0.0208,61.4764,1
50,4.271157,0.0,1.7792,0.0,58.1042,1.4406,0.0,0.0205,61.4066,1
51,4.333373,0.0,2.1899,0.0,58.4329,1.4473,0.0,0.0211,62.1561,1
52,4.394807,0.0,1.7812,0.0,58.1094,1.4457,0.0,0.0209,61.421,1
53,4.456225,0.0,1.81,0.0,58.0644,1.4455,0.0,0.0207,61.4047,1
54,4.51778,0.0,1.7841,0.0,58.2143,1.454,0.0,0.0209,61.5423,1
55,4.579234,0.0,1.7809,0.0,58.1267,1.4487,0.0,0.021,61.4411,1
56,4.640687,0.0,1.7726,0.0,58.1362,1.4461,0.0,0.0207,61.4407,1
57,4.702078,0.0,1.7767,0.0,58.0709,1.4424,0.0,0.0245,61.3784,1
58,4.763453,0.0,1.7707,0.0,58.062,1.4443,0.0,0.0207,61.3617,1
59,4.825493,0.0,1.7767,0.0,58.7209,1.4463,0.0,0.0211,62.0278,1
60,4.887437,0.0,1.7786,0.0,58.6164,1.4497,0.0,0.0203,61.9307,1
61,4.948798,0.0,1.7743,0.0,58.0492,1.4416,0.0,0.0203,61.3489,1
62,5.010228,0.0,1.7839,0.0,58.102,1.4456,0.0,0.0206,61.417,1
63,5.072145,0.0,1.7839,0.0,58.585,1.4466,0.0,0.0207,61.905,1
64,5.133669,0.0,1.7709,0.0,58.2088,1.445,0.0,0.0209,61.5111,1
65,5.19509,0.0,1.7749,0.0,58.0963,1.4487,0.0,0.0236,61.4084,1
66,5.256494,0.0,1.8004,0.0,58.0586,1.4455,0.0,0.0205,61.3905,1
67,5.318513,0.0,1.7855,0.0,58.6806,1.4554,0.0,0.021,62.0063,1
68,5.379852,0.0,1.774,0.0,58.0175,1.45,0.0,0.0208,61.3267,1
69,5.441892,0.0,1.7839,0.0,58.7104,1.4477,0.0,0.0203,62.0267,1
70,5.503387,0.0,1.7878,0.0,58.1655,1.4455,0.0,0.0211,61.4823,1
71,5.564786,0.0,1.7838,0.0,58.0676,1.45,0.0,0.0209,61.3864,1
72,5.626252,0.0,1.7896,0.0,58.136,1.4433,0.0,0.0205,61.4534,1
73,5.687723,0.0,1.781,0.0,58.1519,1.4419,0.0,0.0201,61.4582,1
74,5.749169,0.0,1.7758,0.0,58.1311,1.4428,0.0,0.0205,61.4342,1
75,5.811463,0.0,1.7767,0.0,58.9721,1.4472,0.0,0.0205,62.281,1
76,5.872875,0.0,1.778,0.0,58.0916,1.4453,0.0,0.0205,61.3991,1
77,5.934326,0.0,1.7865,0.0,58.1186,1.4479,0.0,0.0207,61.4381,1
78,5.995667,0.0,1.7696,0.0,58.0308,1.4438,0.0,0.0205,61.3278,1
79,6.057131,0.0,1.8023,0.0,58.1184,1.447,0.0,0.0208,61.4522,1
80,6.118864,0.0,1.7766,0.0,58.4067,1.453,0.0,0.0206,61.7204,1
81,6.180274,0.0,1.7805,0.0,58.0884,1.4437,0.0,0.0207,61.3977,1
82,6.241758,0.0,1.7759,0.0,58.1685,1.4435,0.0,0.0205,61.4717,1
83,6.303874,0.0,1.7777,0.0,58.795,1.4452,0.0,0.0208,62.103,1
84,6.36523,0.0,1.772,0.0,58.041,1.4463,0.0,0.0209,61.3436,1
85,6.426628,0.0,1.778,0.0,58.077,1.4422,0.0,0.0203,61.3855,1
86,6.488053,0.0,1.7809,0.0,58.1039,1.4437,0.0,0.0208,61.4129,1
87,6.549586,0.0,1.774,0.0,58.2073,1.4496,0.0,0.021,61.52,1
88,6.61104,0.0,1.7791,0.0,58.1379,1.4408,0.0,0.0203,61.4418,1
89,6.672425,0.0,1.7783,0.0,58.0591,1.4469,0.0,0.0207,61.3728,1
90,6.733917,0.0,1.772,0.0,58.1778,1.4458,0.0,0.0211,61.4802,1
91,6.796157,0.0,1.7779,0.0,58.9222,1.4445,0.0,0.0208,62.2275,1
92,6.857592,0.0,1.7988,0.0,58.0938,1.4454,0.0,0.0207,61.4219,1
93,6.918967,0.0,1.783,0.0,58.052,1.4427,0.0,0.0205,61.3625,1
94,6.980351,0.0,1.7846,0.0,58.0571,1.4451,0.0,0.0207,61.3714,1
95,7.041837,0.0,1.7809,0.0,58.1616,1.4469,0.0,0.0209,61.4739,1
96,7.103603,0.0,1.7786,0.0,58.4482,1.4424,0.0,0.0208,61.7537,1
97,7.165033,0.0,1.7671,0.0,58.1227,1.4441,0.0,0.0203,61.418,1
98,7.226496,0.0,1.7715,0.0,58.1432,1.4443,0.0,0.0204,61.4508,1
99,7.288778,0.0,1.7807,0.0,58.9606,1.4435,0.0,0.0211,62.2695,1
100,7.350219,0.0,1.785,0.0,58.1155,1.4401,0.0,0.0223,61.429,1
101,7.411733,0.0,1.7829,0.0,58.1418,1.4446,0.0,0.0206,61.4545,1
102,7.473141,0.0,1.7796,0.0,58.0899,1.4428,0.0,0.0201,61.3959,1
103,7.534646,0.0,1.7708,0.0,58.1931,1.4445,0.0,0.0211,61.493,1
104,7.595969,0.0,1.7756,0.0,58.0054,1.4449,0.0,0.0204,61.3107,1
105,7.657429,0.0,1.7839,0.0,58.1271,1.4518,0.0,0.021,61.4474,1
106,7.718849,0.0,1.7762,0.0,58.0978,1.4473,0.0,0.021,61.4072,1
107,7.781083,0.0,1.7868,0.0,58.9054,1.4426,0.0,0.0236,62.2219,1
108,7.842452,0.0,1.7764,0.0,58.0475,1.448,0.0,0.0205,61.3563,1
109,7.903894,0.0,1.7739,0.0,58.1257,1.4443,0.0,0.0207,61.4281,1
110,7.965317,0.0,1.7787,0.0,58.0969,1.4509,0.0,0.0206,61.4111,1
111,8.026669,0.0,1.7724,0.0,58.0385,1.4438,0.0,0.0203,61.3391,1
112,8.088572,0.0,1.7776,0.0,58.5765,1.4523,0.0,0.0203,61.8903,1
113,8.149986,0.0,1.7719,0.0,58.1072,1.4389,0.0,0.0201,61.4017,1
114,8.211723,0.0,1.781,0.0,58.4186,1.4427,0.0,0.0205,61.7253,1
115,8.273106,0.0,1.7763,0.0,58.0691,1.4419,0.0,0.0203,61.3707,1
116,8.335291,0.0,2.4908,0.0,58.1476,1.4496,0.0,0.0209,62.1722,1
