frame_idx,t_wall_s,opus_ms,encode_main_ms,encode_other_ms,step_ms,decode_main_ms,decode_other_ms,d2h_ms,total_ms,warm
0,0.067711,0.0,3.9369,0.0,61.4418,2.1556,0.0,0.051,67.6883,0
1,0.131037,0.0,3.0588,0.0,57.9846,2.1261,0.0,0.0273,63.2643,0
2,0.194294,0.0,2.9386,0.0,58.1108,2.1116,0.0,0.0217,63.242,0
3,0.25761,0.0,3.0428,0.0,58.0609,2.1145,0.0,0.0249,63.3008,0
4,0.320835,0.0,2.946,0.0,58.0882,2.0982,0.0,0.021,63.21,0
5,0.383997,0.0,2.9408,0.0,58.0091,2.112,0.0,0.0258,63.1433,0
6,0.448169,0.0,2.9445,0.0,58.9039,2.2348,0.0,0.0202,64.1589,0
7,0.512247,0.0,2.9366,0.0,58.9407,2.1123,0.0,0.02,64.0639,0
8,0.575456,0.0,2.9379,0.0,58.0705,2.1119,0.0,0.0197,63.1949,0
9,0.638594,0.0,2.9474,0.0,57.9979,2.1039,0.0,0.0205,63.1246,0
10,0.701761,0.0,2.9383,0.0,58.0404,2.1012,0.0,0.0195,63.1539,0
11,0.765083,0.0,2.9442,0.0,58.1597,2.1265,0.0,0.0219,63.308,0
12,0.82827,0.0,2.9285,0.0,58.061,2.1125,0.0,0.019,63.1739,0
13,0.891514,0.0,2.9295,0.0,58.1328,2.0977,0.0,0.0192,63.2317,0
14,0.954688,0.0,2.9319,0.0,58.0521,2.1042,0.0,0.0191,63.1608,0
15,1.018877,0.0,2.9349,0.0,59.0462,2.1154,0.0,0.0196,64.1704,0
16,1.082418,0.0,2.9322,0.0,58.4189,2.1056,0.0,0.019,63.5284,0
17,1.145605,0.0,2.944,0.0,58.0368,2.1207,0.0,0.0193,63.1747,0
18,1.208777,0.0,2.9299,0.0,58.0525,2.1047,0.0,0.0192,63.1594,0
19,1.272591,0.0,2.9436,0.0,58.6823,2.1024,0.0,0.0197,63.8012,0
20,1.335768,0.0,2.9369,0.0,58.0537,2.1017,0.0,0.019,63.1648,0
21,1.398992,0.0,2.9415,0.0,58.0954,2.102,0.0,0.0189,63.2108,0
22,1.462176,0.0,2.9382,0.0,58.055,2.104,0.0,0.0193,63.1713,0
23,1.526076,0.0,2.9716,0.0,58.7361,2.1073,0.0,0.0188,63.8879,0
24,1.589252,0.0,2.9411,0.0,58.0316,2.1144,0.0,0.0188,63.161,0
25,1.652428,0.0,2.9363,0.0,58.0419,2.1062,0.0,0.0193,63.1575,1
26,1.715654,0.0,2.9322,0.0,58.0965,2.1112,0.0,0.0195,63.2133,1
27,1.778924,0.0,2.9353,0.0,58.1411,2.1095,0.0,0.0185,63.2577,1
28,1.842168,0.0,2.9397,0.0,58.112,2.1068,0.0,0.0193,63.2307,1
29,1.905421,0.0,2.9446,0.0,58.1101,2.1129,0.0,0.0196,63.2408,1
30,1.96854,0.0,2.9321,0.0,57.9945,2.1058,0.0,0.0191,63.106,1
31,2.032647,0.0,2.9322,0.0,58.9816,2.1086,0.0,0.0191,64.0949,1
32,2.096238,0.0,2.9333,0.0,58.464,2.1087,0.0,0.0189,63.5779,1
33,2.159433,0.0,2.9301,0.0,58.0766,2.1046,0.0,0.0188,63.1824,1
34,2.222575,0.0,2.9341,0.0,58.0234,2.0993,0.0,0.019,63.1284,1
35,2.285777,0.0,2.9403,0.0,58.0574,2.1144,0.0,0.019,63.1838,1
36,2.348988,0.0,2.9409,0.0,58.0808,2.1057,0.0,0.0187,63.1992,1
37,2.412176,0.0,2.935,0.0,58.0515,2.1137,0.0,0.02,63.1751,1
38,2.476172,0.0,2.9277,0.0,57.9879,2.9949,0.0,0.0192,63.9834,1
39,2.539467,0.0,3.0182,0.0,58.0886,2.1055,0.0,0.0187,63.2831,1
40,2.602716,0.0,2.927,0.0,58.1272,2.11,0.0,0.0192,63.2368,1
41,2.665938,0.0,2.9452,0.0,58.0619,2.1284,0.0,0.0192,63.2084,1
42,2.729159,0.0,2.9403,0.0,58.094,2.1037,0.0,0.0186,63.2091,1
43,2.792389,0.0,2.9245,0.0,58.1015,2.1186,0.0,0.0191,63.2167,1
44,2.855537,0.0,2.9352,0.0,58.014,2.1142,0.0,0.0189,63.1361,1
45,2.91877,0.0,2.9407,0.0,58.0898,2.1115,0.0,0.0194,63.2153,1
46,2.982734,0.0,2.9393,0.0,58.8325,2.1079,0.0,0.0189,63.951,1
47,3.04593,0.0,2.9399,0.0,58.0677,2.1057,0.0,0.0187,63.184,1
48,3.109578,0.0,2.9455,0.0,58.5162,2.101,0.0,0.0198,63.6357,1
49,3.17277,0.0,2.9351,0.0,58.0663,2.1066,0.0,0.0185,63.1793,1
50,3.235961,0.0,2.9386,0.0,58.0595,2.1092,0.0,0.0188,63.1792,1
51,3.299169,0.0,2.9396,0.0,58.0443,2.1097,0.0,0.0192,63.1663,1
52,3.362399,0.0,2.9284,0.0,58.1038,2.1126,0.0,0.0194,63.2173,1
53,3.425646,0.0,2.9555,0.0,58.0978,2.1081,0.0,0.019,63.235,1
54,3.489766,0.0,2.939,0.0,58.9962,2.1007,0.0,0.0184,64.1071,1
55,3.55302,0.0,2.9396,0.0,58.11,2.116,0.0,0.019,63.2371,1
56,3.616286,0.0,2.9454,0.0,58.119,2.1156,0.0,0.0195,63.2535,1
57,3.679465,0.0,2.9337,0.0,58.0533,2.1067,0.0,0.0191,63.1663,1
58,3.742804,0.0,2.9344,0.0,58.2168,2.1032,0.0,0.0188,63.3262,1
59,3.806066,0.0,2.9387,0.0,58.1332,2.1066,0.0,0.019,63.2496,1
60,3.869305,0.0,2.9353,0.0,58.1033,2.1128,0.0,0.0188,63.2226,1
61,3.932611,0.0,2.9388,0.0,58.175,2.1081,0.0,0.0192,63.2939,1
62,3.996552,0.0,2.9368,0.0,58.819,2.0996,0.0,0.0187,63.9275,1
63,4.060365,0.0,2.9375,0.0,58.0492,2.7433,0.0,0.0187,63.8018,1
64,4.12356,0.0,2.9477,0.0,58.0611,2.1014,0.0,0.0191,63.182,1
65,4.186801,0.0,2.9341,0.0,58.1013,2.1156,0.0,0.0192,63.2237,1
66,4.250021,0.0,2.9346,0.0,58.086,2.1159,0.0,0.0189,63.2075,1
67,4.313198,0.0,2.9401,0.0,58.0407,2.112,0.0,0.0185,63.1644,1
68,4.376375,0.0,2.9352,0.0,58.0445,2.1125,0.0,0.0188,63.1643,1
69,4.439656,0.0,2.9274,0.0,58.1589,2.1082,0.0,0.0192,63.2679,1
70,4.503736,0.0,2.9344,0.0,58.9482,2.112,0.0,0.0188,64.0674,1
71,4.567036,0.0,2.9303,0.0,58.1318,2.154,0.0,0.0191,63.2879,1
72,4.630245,0.0,2.935,0.0,58.0849,2.1016,0.0,0.019,63.1961,1
73,4.693448,0.0,2.9319,0.0,58.0805,2.1058,0.0,0.019,63.1904,1
74,4.757297,0.0,2.9287,0.0,58.7367,2.0981,0.0,0.0189,63.8358,1
75,4.820559,0.0,2.9443,0.0,58.118,2.1098,0.0,0.0193,63.2443,1
76,4.883782,0.0,2.9339,0.0,58.0898,2.1135,0.0,0.0188,63.2092,1
77,4.946997,0.0,2.9448,0.0,58.0873,2.0957,0.0,0.0192,63.2011,1
78,5.010929,0.0,2.9432,0.0,58.7877,2.1093,0.0,0.0195,63.9202,1
79,5.074663,0.0,2.929,0.0,58.6181,2.1023,0.0,0.0185,63.7206,1
80,5.137908,0.0,2.9371,0.0,58.1113,2.1116,0.0,0.0193,63.2324,1
81,5.201154,0.0,2.9477,0.0,58.0967,2.1157,0.0,0.0189,63.2331,1
82,5.264347,0.0,2.9369,0.0,58.0741,2.0978,0.0,0.0186,63.181,1
83,5.327632,0.0,2.9739,0.0,58.1175,2.1081,0.0,0.0189,63.2716,1
84,5.391698,0.0,2.9307,0.0,58.9425,2.1096,0.0,0.0187,64.0539,1
85,5.455016,0.0,2.9428,0.0,58.1738,2.1099,0.0,0.0192,63.299,1
86,5.519317,0.0,2.9513,0.0,59.1577,2.1075,0.0,0.0192,64.2887,1
87,5.582541,0.0,2.9443,0.0,58.0924,2.1032,0.0,0.0194,63.212,1
88,5.645782,0.0,2.9437,0.0,58.107,2.1051,0.0,0.0192,63.2283,1
89,5.709086,0.0,2.9479,0.0,58.1583,2.11,0.0,0.0216,63.2911,1
90,5.772494,0.0,2.9423,0.0,58.2614,2.117,0.0,0.0193,63.3953,1
91,5.835782,0.0,2.9452,0.0,58.1409,2.1182,0.0,0.0192,63.2758,1
92,5.899653,0.0,2.9383,0.0,58.7403,2.1071,0.0,0.0194,63.8589,1
93,5.962902,0.0,2.9483,0.0,58.1095,2.1057,0.0,0.0191,63.2354,1
94,6.027298,0.0,2.9432,0.0,59.2583,2.1112,0.0,0.0192,64.3841,1
95,6.090925,0.0,2.9368,0.0,58.4838,2.1153,0.0,0.0189,63.6083,1
96,6.154757,0.0,2.9426,0.0,58.6908,2.1144,0.0,0.0194,63.8203,1
97,6.218127,0.0,2.9449,0.0,58.2213,2.1182,0.0,0.0191,63.357,1
98,6.281492,0.0,2.9392,0.0,58.2373,2.1038,0.0,0.0192,63.3525,1
99,6.34481,0.0,2.9449,0.0,58.1837,2.1039,0.0,0.0193,63.3057,1
100,6.408749,0.0,2.9381,0.0,58.7388,2.1748,0.0,0.0198,63.9257,1
101,6.47209,0.0,2.9495,0.0,58.1609,2.1108,0.0,0.0204,63.2955,1
102,6.536403,0.0,2.9401,0.0,59.1717,2.1152,0.0,0.019,64.3006,1
103,6.599726,0.0,2.9413,0.0,58.1829,2.1151,0.0,0.019,63.3111,1
104,6.662978,0.0,2.9397,0.0,58.1133,2.114,0.0,0.0191,63.2395,1
105,6.726255,0.0,2.9524,0.0,58.1259,2.1076,0.0,0.0192,63.259,1
