frame_idx,t_wall_s,opus_ms,encode_main_ms,encode_other_ms,step_ms,decode_main_ms,decode_other_ms,d2h_ms,total_ms,warm
0,0.052299,0.0,2.7756,0.0,47.619,1.5348,0.0,0.054,52.194,0
1,0.099054,0.0,1.9966,0.0,43.1292,1.4715,0.0,0.0269,46.7002,0
2,0.54659,0.0,1.8148,0.0,43.1906,402.356,0.0,0.0741,447.5208,0
3,0.594627,0.0,2.4224,0.0,43.3372,2.0915,0.0,0.0345,48.012,0
4,0.641679,0.0,2.165,0.0,43.2649,1.4893,0.0,0.027,47.0328,0
5,0.689192,0.0,1.8507,0.0,44.0756,1.4698,0.0,0.0239,47.4962,0
6,0.737443,0.0,1.8242,0.0,44.8409,1.468,0.0,0.0235,48.2356,0
7,0.784796,0.0,1.8038,0.0,43.9808,1.4624,0.0,0.0223,47.3387,0
8,0.831312,0.0,1.7948,0.0,43.164,1.4539,0.0,0.0222,46.5013,0
9,0.87779,0.0,1.7821,0.0,43.1371,1.4556,0.0,0.0215,46.4629,0
10,0.92429,0.0,1.7846,0.0,43.1618,1.4514,0.0,0.0217,46.4844,0
11,0.97077,0.0,1.7731,0.0,43.1526,1.4527,0.0,0.0212,46.4653,0
12,1.018155,0.0,1.7668,0.0,43.6574,1.8623,0.0,0.0207,47.3713,0
13,1.065099,0.0,1.7724,0.0,43.608,1.4512,0.0,0.0243,46.9294,0
14,1.111576,0.0,1.7749,0.0,43.1209,1.4813,0.0,0.0213,46.4631,0
15,1.158073,0.0,1.7708,0.0,43.1767,1.4499,0.0,0.0214,46.4836,0
16,1.205436,0.0,1.7749,0.0,43.6784,1.8078,0.0,0.0214,47.3467,0
17,1.251934,0.0,1.7684,0.0,43.1801,1.4508,0.0,0.021,46.4846,0
18,1.298404,0.0,1.7739,0.0,43.1468,1.4514,0.0,0.0204,46.4563,0
19,1.344865,0.0,1.7792,0.0,43.1375,1.4463,0.0,0.0206,46.4473,0
20,1.391304,0.0,1.7723,0.0,43.1186,1.45,0.0,0.0208,46.4262,0
21,1.437801,0.0,1.7617,0.0,43.1903,1.4478,0.0,0.0207,46.4835,0
22,1.484242,0.0,1.7652,0.0,43.1374,1.4428,0.0,0.0207,46.4287,0
23,1.530722,0.0,1.7673,0.0,43.1737,1.442,0.0,0.0202,46.467,0
24,1.577138,0.0,1.7622,0.0,43.1128,1.4449,0.0,0.0199,46.4028,0
25,1.623639,0.0,1.7623,0.0,43.1901,1.4504,0.0,0.0208,46.4884,1
26,1.670084,0.0,1.7688,0.0,43.1262,1.4464,0.0,0.0219,46.4314,1
27,1.717427,0.0,1.7651,0.0,44.028,1.4517,0.0,0.0208,47.3301,1
28,1.763897,0.0,1.7892,0.0,43.1316,1.4525,0.0,0.0205,46.4577,1
29,1.810381,0.0,1.7727,0.0,43.1684,1.4464,0.0,0.0203,46.471,1
30,1.856878,0.0,1.7599,0.0,43.181,1.4463,0.0,0.0202,46.4723,1
31,1.903358,0.0,1.7715,0.0,43.1638,1.4455,0.0,0.0212,46.4663,1
32,1.94981,0.0,1.766,0.0,43.1366,1.4528,0.0,0.0204,46.4393,1
33,1.996266,0.0,1.7648,0.0,43.1434,1.4512,0.0,0.0206,46.4433,1
34,2.042752,0.0,1.7669,0.0,43.178,1.4462,0.0,0.0203,46.4742,1
35,2.089723,0.0,1.7714,0.0,43.6494,1.4518,0.0,0.0216,46.9578,1
36,2.136198,0.0,1.7714,0.0,43.1578,1.4486,0.0,0.0209,46.4626,1
37,2.182803,0.0,1.7629,0.0,43.3015,1.4418,0.0,0.0207,46.5919,1
38,2.230411,0.0,1.7732,0.0,44.2899,1.4484,0.0,0.0206,47.5954,1
39,2.276855,0.0,1.7591,0.0,43.1377,1.4515,0.0,0.0202,46.4317,1
40,2.323346,0.0,1.7699,0.0,43.1689,1.4489,0.0,0.0201,46.4709,1
41,2.369823,0.0,1.7641,0.0,43.1711,1.4465,0.0,0.0201,46.465,1
42,2.417103,0.0,1.7827,0.0,43.9501,1.4472,0.0,0.0244,47.2672,1
43,2.463592,0.0,1.7739,0.0,43.1694,1.4473,0.0,0.0215,46.4759,1
44,2.510044,0.0,1.7676,0.0,43.1391,1.4489,0.0,0.0212,46.4397,1
45,2.556512,0.0,1.7644,0.0,43.1571,1.45,0.0,0.0203,46.455,1
46,2.602999,0.0,1.7689,0.0,43.1697,1.4511,0.0,0.0212,46.4752,1
47,2.649474,0.0,1.7655,0.0,43.1644,1.4475,0.0,0.0208,46.4625,1
48,2.695908,0.0,1.762,0.0,43.1256,1.4491,0.0,0.0215,46.4208,1
49,2.743447,0.0,1.7689,0.0,44.2261,1.4486,0.0,0.0206,47.5274,1
50,2.789907,0.0,1.7713,0.0,43.1378,1.4478,0.0,0.0207,46.4418,1
51,2.836395,0.0,1.7769,0.0,43.1201,1.4487,0.0,0.0207,46.4305,1
52,2.88285,0.0,1.7612,0.0,43.1481,1.4507,0.0,0.0203,46.4427,1
53,2.929323,0.0,1.7671,0.0,43.1612,1.4478,0.0,0.0206,46.4601,1
54,2.97577,0.0,1.7658,0.0,43.1311,1.4537,0.0,0.0208,46.4348,1
55,3.022239,0.0,1.7623,0.0,43.1527,1.4575,0.0,0.0208,46.4567,1
56,3.069237,0.0,1.7671,0.0,43.6839,1.4517,0.0,0.0207,46.9855,1
57,3.11566,0.0,1.7574,0.0,43.1165,1.4519,0.0,0.0203,46.4101,1
58,3.162107,0.0,1.7633,0.0,43.1319,1.4522,0.0,0.021,46.4352,1
59,3.209486,0.0,1.7629,0.0,44.0729,1.4469,0.0,0.0204,47.3661,1
60,3.255979,0.0,1.7668,0.0,43.18,1.4485,0.0,0.0209,46.4797,1
61,3.302609,0.0,1.769,0.0,43.3073,1.4566,0.0,0.0216,46.6184,1
62,3.349094,0.0,1.7685,0.0,43.1698,1.4457,0.0,0.0247,46.4718,1
63,3.395527,0.0,1.7595,0.0,43.1295,1.4487,0.0,0.0203,46.4207,1
64,3.442015,0.0,1.7613,0.0,43.1794,1.4498,0.0,0.0207,46.4749,1
65,3.488493,0.0,1.7799,0.0,43.145,1.4557,0.0,0.0199,46.4658,1
66,3.534975,0.0,1.7635,0.0,43.1751,1.449,0.0,0.0204,46.4703,1
67,3.5814,0.0,1.7728,0.0,43.1045,1.4514,0.0,0.0204,46.412,1
68,3.628722,0.0,1.7685,0.0,44.0025,1.4534,0.0,0.0212,47.3089,1
69,3.675159,0.0,1.7707,0.0,43.1188,1.4505,0.0,0.0206,46.4245,1
70,3.722547,0.0,1.7672,0.0,44.06,1.4643,0.0,0.0211,47.3756,1
71,3.769011,0.0,1.7608,0.0,43.1589,1.4478,0.0,0.0205,46.4518,1
72,3.815427,0.0,1.7648,0.0,43.1083,1.4477,0.0,0.02,46.4037,1
73,3.861875,0.0,1.7602,0.0,43.1397,1.4515,0.0,0.0212,46.4352,1
74,3.908361,0.0,1.7887,0.0,43.142,1.4574,0.0,0.021,46.4729,1
75,3.954826,0.0,1.759,0.0,43.1605,1.4482,0.0,0.0207,46.4523,1
76,4.001276,0.0,1.7757,0.0,43.1313,1.4469,0.0,0.0212,46.4371,1
77,4.047773,0.0,1.7738,0.0,43.1764,1.452,0.0,0.0208,46.4845,1
78,4.09468,0.0,1.7655,0.0,43.5973,1.4481,0.0,0.0203,46.8943,1
79,4.14115,0.0,1.7686,0.0,43.153,1.4518,0.0,0.0209,46.4567,1
80,4.187707,0.0,1.7594,0.0,43.255,1.4481,0.0,0.02,46.5449,1
81,4.235165,0.0,1.7626,0.0,44.1543,1.4451,0.0,0.0214,47.4461,1
82,4.281594,0.0,1.7671,0.0,43.1174,1.4491,0.0,0.0203,46.4163,1
