frame_idx,t_wall_s,opus_ms,encode_main_ms,encode_other_ms,step_ms,decode_main_ms,decode_other_ms,d2h_ms,total_ms,warm
0,0.058716,0.0,3.3361,3.6822,47.0757,2.1848,2.1404,0.0624,58.6441,0
1,0.112399,0.0,3.165,3.0319,42.9713,2.1472,2.1466,0.0342,53.5996,0
2,0.165982,0.0,3.038,3.1031,43.0068,2.1448,2.1477,0.0299,53.5605,0
3,0.219327,0.0,3.003,2.9985,42.9426,2.1383,2.135,0.0245,53.3265,0
4,0.272719,0.0,2.9932,3.0042,42.9908,2.1364,2.1446,0.0242,53.3756,0
5,0.326019,0.0,2.9985,2.9995,42.9177,2.1309,2.1344,0.0237,53.2831,0
6,0.3793,0.0,2.9838,2.986,42.9332,2.1364,2.1269,0.0228,53.2655,0
7,0.432598,0.0,2.9901,2.997,42.9338,2.1312,2.1299,0.0226,53.2818,0
8,0.486776,0.0,3.0277,3.0155,43.7582,2.1289,2.1324,0.0239,54.1623,0
9,0.540109,0.0,2.9938,2.9962,42.9656,2.1327,2.1305,0.0233,53.3177,0
10,0.593393,0.0,2.9984,2.9868,42.9274,2.1261,2.1312,0.0225,53.2683,0
11,0.646749,0.0,2.9973,3.0033,42.9778,2.132,2.131,0.0231,53.3406,0
12,0.700081,0.0,2.9972,2.9959,42.9388,2.1329,2.1364,0.0241,53.3024,0
13,0.753411,0.0,2.9852,2.993,42.9707,2.1255,2.142,0.0239,53.3148,0
14,0.806673,0.0,2.9778,2.9875,42.921,2.1273,2.1336,0.0231,53.247,0
15,0.860025,0.0,3.0,3.0016,42.9619,2.1364,2.1382,0.0237,53.3367,0
16,0.913329,0.0,2.9874,2.9899,42.9418,2.1348,2.1356,0.0235,53.2892,0
17,0.96773,0.0,2.9896,2.9847,44.0566,2.1293,2.1262,0.0228,54.3854,0
18,1.021049,0.0,2.9872,2.9924,42.947,2.1311,2.1462,0.0226,53.3034,0
19,1.074852,0.0,2.9932,2.985,43.4424,2.1291,2.1394,0.0232,53.788,0
20,1.128143,0.0,2.9946,2.9818,42.9198,2.1379,2.1384,0.0235,53.2762,0
