frame_idx,t_wall_s,opus_ms,encode_main_ms,encode_other_ms,step_ms,decode_main_ms,decode_other_ms,d2h_ms,total_ms,warm
0,0.096052,0.0,3.3206,3.1305,85.0365,2.1793,2.14,0.0628,96.0224,0
1,0.187677,0.0,3.1339,3.0285,80.9452,2.154,2.1346,0.0352,91.5371,0
2,0.280287,0.0,3.0131,3.0305,82.1553,2.1366,2.1327,0.0271,92.5872,0
3,0.371613,0.0,2.9992,3.0032,80.9208,2.1429,2.1321,0.0254,91.3066,0
4,0.462897,0.0,2.9956,3.0177,80.8724,2.1332,2.1406,0.0257,91.2663,0
5,0.554349,0.0,2.993,3.1892,80.8617,2.1492,2.1321,0.0284,91.4337,0
6,0.645679,0.0,2.9978,3.0054,80.941,2.1335,2.1261,0.0252,91.3113,0
7,0.738188,0.0,2.995,3.0094,82.1019,2.1466,2.1331,0.0249,92.4908,0
8,0.829552,0.0,2.9898,3.0154,80.9837,2.1259,2.1267,0.025,91.3467,0
9,0.920792,0.0,2.9999,3.0136,80.8339,2.1394,2.1313,0.0248,91.2224,0
10,1.012086,0.0,2.9914,3.0047,80.8839,2.1371,2.1554,0.0276,91.2778,0
11,1.103879,0.0,2.9922,3.0225,81.4015,2.1303,2.1271,0.0239,91.7767,0
12,1.195916,0.0,2.9885,3.0261,81.6539,2.1258,2.1269,0.0241,92.0212,0
13,1.288567,0.0,3.0903,3.0014,82.1721,2.1443,2.1216,0.0243,92.6362,0
14,1.37988,0.0,2.9858,3.0109,80.9238,2.1269,2.1344,0.0235,91.2843,0
15,1.471258,0.0,2.9896,3.007,80.9963,2.145,2.1235,0.0238,91.3631,0
16,1.562589,0.0,2.9867,3.0193,80.9521,2.1305,2.1232,0.0241,91.3155,0
17,1.653861,0.0,3.0051,3.01,80.8645,2.1349,2.1376,0.0237,91.2552,0
18,1.746465,0.0,2.9928,3.0109,82.232,2.1288,2.124,0.0232,92.5877,0
19,1.837659,0.0,2.9901,2.9937,80.8387,2.1273,2.127,0.0238,91.1781,0
20,1.928963,0.0,2.9943,3.0095,80.9297,2.1281,2.1235,0.0246,91.2879,0
21,2.020314,0.0,3.0003,3.0139,80.9517,2.1338,2.1354,0.0234,91.3348,0
22,2.112183,0.0,2.9951,3.0126,81.4379,2.1364,2.1672,0.0251,91.8531,0
23,2.20429,0.0,2.9971,3.0066,81.7161,2.1312,2.1345,0.0235,92.0894,0
24,2.296396,0.0,2.987,3.8541,80.877,2.127,2.1321,0.0236,92.0787,0
25,2.387702,0.0,2.9866,3.0054,80.9359,2.129,2.1307,0.0237,91.2893,1
26,2.479041,0.0,2.9901,3.016,80.9565,2.1232,2.1333,0.0246,91.3227,1
27,2.570351,0.0,2.9818,3.0,80.9494,2.1323,2.1261,0.0239,91.2943,1
28,2.661561,0.0,2.9848,3.011,80.838,2.1311,2.126,0.0245,91.1937,1
29,2.754052,0.0,2.9883,2.9963,82.1203,2.1291,2.1371,0.0254,92.4752,1
30,2.845291,0.0,2.9819,3.0089,80.8763,2.1291,2.1235,0.0239,91.2203,1
31,2.93656,0.0,2.991,3.0039,80.8926,2.1351,2.1283,0.0233,91.252,1
32,3.027875,0.0,2.9862,3.0011,80.9488,2.1324,2.1293,0.0238,91.2996,1
33,3.119705,0.0,3.0011,3.0167,81.4125,2.1457,2.135,0.0256,91.8135,1
34,3.212848,0.0,3.0023,3.0192,81.7279,2.5323,2.725,0.0246,93.1119,1
35,3.304302,0.0,3.0128,3.0132,81.0324,2.1421,2.1344,0.0239,91.4375,1
36,3.395611,0.0,2.9992,3.0099,80.9125,2.1297,2.1411,0.0233,91.2936,1
37,3.486924,0.0,3.008,3.0203,80.9027,2.1338,2.131,0.0236,91.2975,1
38,3.578342,0.0,2.9939,3.0186,81.0049,2.1504,2.1335,0.0242,91.4027,1
39,3.669679,0.0,2.994,3.0128,80.9551,2.1331,2.1235,0.0232,91.3203,1
40,3.762241,0.0,2.997,3.0252,82.1499,2.1409,2.1306,0.0244,92.5463,1
41,3.85354,0.0,2.9962,3.0193,80.9056,2.1348,2.124,0.0245,91.2823,1
42,3.944832,0.0,2.9924,3.0161,80.8891,2.1386,2.1373,0.0243,91.275,1
43,4.03616,0.0,3.0003,3.0282,80.8871,2.1503,2.1418,0.0245,91.3123,1
44,4.127991,0.0,2.9996,3.0214,81.4237,2.1296,2.1259,0.024,91.8029,1
45,4.220705,0.0,3.012,3.0055,82.3034,2.1384,2.1347,0.024,92.6975,1
46,4.312102,0.0,3.0039,3.0254,80.9754,2.1387,2.1323,0.024,91.3808,1
47,4.403478,0.0,3.0359,3.0056,80.9447,2.1348,2.1355,0.0249,91.3602,1
48,4.494773,0.0,2.9952,3.0257,80.8869,2.1278,2.1415,0.0244,91.2793,1
49,4.586245,0.0,2.9978,3.0243,81.0753,2.1345,2.1235,0.0247,91.4569,1
50,4.677534,0.0,2.994,3.015,80.8827,2.1448,2.1346,0.0244,91.2725,1
51,4.77024,0.0,3.0129,3.0147,82.2354,2.1398,2.1343,0.0239,92.6458,1
