frame_idx,t_wall_s,opus_ms,encode_main_ms,encode_other_ms,step_ms,decode_main_ms,decode_other_ms,d2h_ms,total_ms,warm
0,0.107337,0.0,3.3133,3.0488,96.3006,2.2228,2.1742,0.0638,107.2748,0
1,0.210666,0.0,3.1678,3.0386,92.5478,2.1863,2.1702,0.0385,103.2534,0
2,0.314498,0.0,3.0424,3.0339,93.3337,2.129,2.1384,0.0282,103.8081,0
3,0.418929,0.0,3.0025,3.04,94.0028,2.1205,2.1403,0.0235,104.4108,0
4,0.520457,0.0,2.9937,2.9895,91.1478,2.117,2.16,0.0218,101.5081,0
5,0.622174,0.0,2.9751,3.1432,91.2279,2.1283,2.128,0.0239,101.7015,0
6,0.72439,0.0,2.9685,2.9863,91.9049,2.1248,2.125,0.0214,102.2002,0
7,0.825959,0.0,2.9767,2.9877,91.2546,2.117,2.128,0.0213,101.5546,0
8,0.928765,0.0,2.971,2.9857,92.4909,2.1266,2.1258,0.0226,102.7915,0
9,1.030311,0.0,2.9818,2.99,91.2292,2.111,2.1243,0.021,101.5305,0
10,1.132345,0.0,2.9733,2.9924,91.7186,2.1125,2.1309,0.0208,102.0188,0
11,1.23388,0.0,2.9826,2.9815,91.23,2.1129,2.1236,0.0209,101.5216,0
12,1.336175,0.0,2.9651,2.9796,92.0076,2.1078,2.1317,0.021,102.2813,0
13,1.438639,0.0,2.972,2.9835,92.1633,2.1186,2.1195,0.0215,102.4504,0
14,1.540186,0.0,2.9837,2.9814,91.2225,2.1106,2.1307,0.0209,101.521,0
15,1.641697,0.0,2.9873,2.9848,91.1989,2.1083,2.13,0.0201,101.4974,0
16,1.743178,0.0,2.9676,2.9861,91.1946,2.1061,2.1223,0.0206,101.4661,0
17,1.84472,0.0,2.9699,2.9803,91.2342,2.1222,2.1326,0.0208,101.5284,0
18,1.947314,0.0,2.9626,2.9774,92.3173,2.1076,2.1252,0.0213,102.5801,0
19,2.048681,0.0,2.9668,2.9758,91.0847,2.1097,2.1254,0.021,101.352,0
20,2.150666,0.0,2.97,2.9757,91.6977,2.1123,2.1242,0.0217,101.9709,0
21,2.252061,0.0,2.9717,2.9728,91.1209,2.1055,2.1211,0.0206,101.3813,0
22,2.353641,0.0,2.9676,2.9773,91.2891,2.1118,2.1289,0.0216,101.5659,0
23,2.456235,0.0,2.9693,2.9743,92.3162,2.1067,2.1247,0.0205,102.5804,0
24,2.557719,0.0,2.9827,2.9823,91.1719,2.1089,2.1275,0.0204,101.4617,0
25,2.659207,0.0,2.9711,2.9884,91.197,2.1076,2.1205,0.0208,101.4742,1
26,2.760748,0.0,2.9744,2.9835,91.2424,2.1118,2.1255,0.0207,101.5271,1
27,2.862302,0.0,2.9703,2.9799,91.26,2.1117,2.1301,0.0206,101.5402,1
28,2.964634,0.0,3.3311,3.4287,91.2167,2.1181,2.1334,0.0211,102.3186,1
29,3.066103,0.0,2.9681,2.9828,91.1886,2.1072,2.1187,0.0207,101.4543,1
30,3.168015,0.0,2.9719,2.9753,91.6343,2.1102,2.1181,0.0204,101.8984,1
31,3.269506,0.0,2.9801,2.9734,91.1971,2.1061,2.1278,0.0234,101.4779,1
32,3.371751,0.0,2.9718,2.974,91.8812,2.1918,2.1229,0.0208,102.231,1
33,3.473386,0.0,3.1061,2.992,91.2091,2.1052,2.1197,0.0212,101.6204,1
34,3.574792,0.0,2.9709,2.9749,91.1174,2.1085,2.1247,0.0209,101.3863,1
35,3.677097,0.0,2.9599,2.9828,92.0127,2.1265,2.1208,0.0206,102.2917,1
36,3.778578,0.0,2.9662,2.9773,91.1883,2.1107,2.1354,0.0209,101.4675,1
37,3.880912,0.0,2.9635,2.9873,92.0475,2.1125,2.1194,0.0204,102.3202,1
38,3.982422,0.0,2.9681,2.9777,91.2236,2.1071,2.1297,0.0204,101.4963,1
39,4.084564,0.0,2.9709,2.9831,91.2171,2.1038,2.7655,0.0209,102.1286,1
40,4.186097,0.0,2.9757,2.977,91.2301,2.1189,2.1273,0.0207,101.5189,1
41,4.28762,0.0,2.9676,2.9785,91.2435,2.106,2.1237,0.0216,101.509,1
42,4.389948,0.0,2.9606,2.9712,92.0661,2.1084,2.1193,0.0207,102.3151,1
43,4.491469,0.0,2.9687,2.9791,91.2285,2.114,2.1266,0.0211,101.5065,1
44,4.592966,0.0,2.9755,2.978,91.208,2.1069,2.1168,0.0208,101.4753,1
45,4.694518,0.0,2.9685,2.9803,91.2589,2.106,2.1354,0.02,101.538,1
46,4.795939,0.0,2.966,2.9747,91.1577,2.0984,2.1221,0.0205,101.408,1
47,4.89834,0.0,2.9672,2.9718,92.1326,2.1031,2.123,0.0207,102.387,1
48,4.999675,0.0,2.9812,2.9752,91.0316,2.118,2.1256,0.0204,101.3214,1
49,5.101663,0.0,2.9682,2.9827,91.7026,2.1125,2.1189,0.0209,101.9744,1
50,5.20302,0.0,2.9661,2.9691,91.0864,2.1099,2.1197,0.0207,101.3429,1
51,5.304616,0.0,2.9882,2.9783,91.2353,2.1144,2.1372,0.0209,101.5436,1
52,5.407396,0.0,2.9677,2.9834,92.4973,2.1061,2.1241,0.0202,102.7664,1
53,5.508748,0.0,2.9702,2.9878,91.044,2.1211,2.1246,0.0209,101.3377,1
54,5.610253,0.0,2.9774,2.976,91.2063,2.1053,2.1311,0.0207,101.4857,1
55,5.711773,0.0,2.9663,2.9846,91.2278,2.1137,2.125,0.0206,101.5066,1
56,5.813192,0.0,2.971,2.978,91.1358,2.1002,2.1305,0.0208,101.4048,1
57,5.916669,0.0,2.9791,2.9918,93.1622,2.1194,2.1202,0.0208,103.4625,1
58,6.019017,0.0,2.968,2.9826,92.0609,2.111,2.1234,0.0206,102.3346,1
59,6.121258,0.0,2.9672,3.0252,91.906,2.1071,2.1341,0.0202,102.2277,1
60,6.222868,0.0,3.0013,2.9988,91.2764,2.1072,2.1238,0.0205,101.5955,1
61,6.324438,0.0,3.0105,2.9907,91.2084,2.1048,2.1532,0.0206,101.5564,1
62,6.427284,0.0,2.9733,2.9805,92.5124,2.1485,2.1256,0.0211,102.8336,1
63,6.528702,0.0,2.9705,2.9806,91.1156,2.1205,2.1283,0.021,101.4042,1
64,6.630234,0.0,2.9749,2.9826,91.2251,2.1151,2.1246,0.0204,101.5117,1
65,6.731862,0.0,2.9683,2.9897,91.312,2.1256,2.1286,0.0206,101.6139,1
66,6.833508,0.0,2.9756,3.0095,91.3123,2.112,2.1303,0.0207,101.6325,1
67,6.936278,0.0,2.9723,2.9754,92.4869,2.1036,2.1274,0.0207,102.7553,1
68,7.037821,0.0,2.9734,2.9855,91.25,2.1096,2.1217,0.021,101.5293,1
69,7.139812,0.0,2.9673,2.9727,91.7132,2.11,2.1258,0.0204,101.977,1
70,7.241152,0.0,2.9619,2.9794,91.0686,2.1043,2.1218,0.0207,101.3255,1
71,7.342653,0.0,2.9723,2.9823,91.2015,2.1168,2.124,0.0206,101.4868,1
72,7.445287,0.0,2.9746,2.9878,92.3222,2.1119,2.1321,0.021,102.6206,1
73,7.546832,0.0,2.9819,2.9835,91.2414,2.113,2.1204,0.0212,101.5306,1
74,7.648394,0.0,2.9673,2.9723,91.277,2.1143,2.1209,0.0204,101.5401,1
75,7.749924,0.0,2.9754,2.9806,91.236,2.1097,2.1243,0.0206,101.5156,1
76,7.851477,0.0,2.969,2.981,91.2549,2.1109,2.1342,0.0208,101.539,1
77,7.954009,0.0,2.966,2.9762,92.2453,2.1086,2.1272,0.0207,102.5153,1
78,8.055542,0.0,2.9683,2.9843,91.2278,2.1223,2.1288,0.0207,101.5192,1
79,8.157491,0.0,2.9697,2.9685,91.6651,2.1147,2.1237,0.0244,101.9345,1
80,8.258963,0.0,2.9854,2.9678,91.1858,2.1127,2.1189,0.0203,101.4582,1
81,8.360467,0.0,2.9599,2.9688,91.243,2.1056,2.1236,0.0208,101.4908,1
82,8.463068,0.0,2.9707,3.0238,92.2742,2.1042,2.1226,0.0203,102.5844,1
83,8.564561,0.0,2.9657,2.9764,91.2062,2.1154,2.1276,0.0205,101.4794,1
84,8.666059,0.0,2.9765,2.9767,91.2024,2.108,2.1234,0.021,101.4766,1
85,8.767574,0.0,2.9635,2.9754,91.2186,2.118,2.1366,0.0208,101.5007,1
86,8.869849,0.0,2.9678,2.9815,91.2352,2.6292,2.359,0.021,102.2617,1
87,8.97121,0.0,2.9723,2.9787,91.0762,2.1065,2.1236,0.0207,101.3472,1
88,9.072782,0.0,2.9773,2.9892,91.2689,2.1091,2.1252,0.0206,101.5577,1
89,9.174763,0.0,2.9693,2.9766,91.6967,2.1119,2.1249,0.0205,101.968,1
90,9.277142,0.0,2.9549,2.9719,92.1288,2.1064,2.1148,0.0206,102.365,1
91,9.379714,0.0,2.9656,2.9758,92.2807,2.1279,2.1205,0.0204,102.5587,1
92,9.481072,0.0,2.9679,2.9803,91.0803,2.1048,2.1224,0.0203,101.3444,1
93,9.582448,0.0,2.9654,2.9846,91.0836,2.1055,2.1345,0.0206,101.3616,1
94,9.683841,0.0,2.9707,2.9959,91.0831,2.1036,2.1238,0.0205,101.3734,1
95,9.785343,0.0,2.9694,2.9718,91.2328,2.1018,2.124,0.0207,101.4891,1
96,9.887841,0.0,2.9877,2.9874,92.1853,2.1162,2.119,0.0207,102.4844,1
97,9.989347,0.0,2.9652,2.982,91.2182,2.112,2.1233,0.0206,101.4914,1
98,10.090943,0.0,2.9721,2.9855,91.2925,2.1152,2.1272,0.0211,101.5826,1
99,10.192739,0.0,2.9669,2.9798,91.5149,2.1085,2.1231,0.0202,101.7821,1
100,10.294252,0.0,2.9644,2.9762,91.2417,2.105,2.1219,0.021,101.499,1
101,10.39687,0.0,2.9858,2.9909,92.2425,2.1161,2.1342,0.0204,102.5607,1
102,10.498242,0.0,2.9754,2.9803,91.0782,2.1091,2.1259,0.0212,101.3584,1
103,10.599644,0.0,2.9684,2.9855,91.1119,2.1117,2.1218,0.0206,101.3881,1
104,10.701153,0.0,2.9729,2.9861,91.204,2.113,2.1227,0.0209,101.4883,1
105,10.802621,0.0,2.9718,2.9762,91.1814,2.1092,2.1267,0.0211,101.4538,1
