frame_idx,t_wall_s,opus_ms,encode_main_ms,encode_other_ms,step_ms,decode_main_ms,decode_other_ms,d2h_ms,total_ms,warm
0,0.073526,0.0,3.3299,3.3052,62.2546,2.1987,2.1423,0.0602,73.4599,0
1,0.142506,0.0,3.1374,3.0436,58.2765,2.1579,2.1492,0.0316,68.8973,0
2,0.211223,0.0,2.9859,3.116,58.1624,2.1523,2.1629,0.0294,68.6941,0
3,0.279818,0.0,2.9787,3.0075,58.1718,2.1634,2.1427,0.0269,68.5754,0
4,0.348512,0.0,2.9854,3.0085,58.2939,2.1383,2.1407,0.0251,68.6748,0
5,0.417133,0.0,2.9649,3.0031,58.2401,2.1426,2.1515,0.0241,68.6042,0
6,0.485743,0.0,2.9763,3.0026,58.2323,2.137,2.1388,0.0232,68.5934,0
7,0.555364,0.0,2.9713,3.1094,59.1151,2.1374,2.1712,0.0232,69.6038,0
8,0.623969,0.0,2.9761,2.9968,58.2403,2.1408,2.1347,0.0238,68.5893,0
9,0.692535,0.0,2.9663,3.0072,58.2035,2.1399,2.1337,0.0232,68.5492,0
10,0.761137,0.0,2.968,2.9933,58.2343,2.1419,2.1376,0.0236,68.5732,0
11,0.829701,0.0,2.9635,3.0082,58.1923,2.1486,2.1319,0.0238,68.5478,0
12,0.898602,0.0,2.9685,3.0,58.5355,2.1426,2.1407,0.0237,68.8853,0
13,0.96723,0.0,2.9638,3.0008,58.2709,2.136,2.1397,0.0236,68.6109,0
14,1.035788,0.0,2.9734,3.0009,58.1927,2.1369,2.1373,0.0229,68.5414,0
15,1.105573,0.0,2.9829,3.372,59.0511,2.136,2.1296,0.0233,69.7699,0
16,1.174199,0.0,2.9709,2.9967,58.2675,2.1377,2.1362,0.0259,68.6108,0
17,1.242774,0.0,2.968,2.9903,58.2319,2.1419,2.1311,0.0227,68.56,0
18,1.311361,0.0,2.9746,3.0105,58.2149,2.1434,2.1304,0.023,68.5706,0
19,1.379956,0.0,2.9743,3.0033,58.2164,2.143,2.1439,0.0226,68.579,0
20,1.44853,0.0,2.9704,2.9981,58.2277,2.1372,2.1299,0.0226,68.5598,0
21,1.517128,0.0,2.9628,2.9914,58.2418,2.1448,2.1455,0.0221,68.5835,0
22,1.586463,0.0,2.9655,2.9896,58.9956,2.1377,2.1335,0.0224,69.3203,0
23,1.655007,0.0,2.9676,2.9956,58.2016,2.1358,2.1291,0.0223,68.5276,0
24,1.723628,0.0,3.0103,3.005,58.2179,2.1396,2.1372,0.0224,68.6058,0
25,1.7922,0.0,2.9577,2.9963,58.2255,2.1375,2.1406,0.0231,68.5568,1
26,1.860844,0.0,2.9699,3.0026,58.2713,2.1517,2.1324,0.0236,68.6284,1
27,1.929379,0.0,2.9762,2.9983,58.1788,2.1356,2.1334,0.0227,68.5192,1
28,1.997977,0.0,2.9649,2.9904,58.2456,2.1429,2.141,0.0223,68.5829,1
29,2.067742,0.0,2.9685,3.0072,59.4024,2.1319,2.1426,0.0227,69.7499,1
30,2.136431,0.0,2.9744,2.9888,58.3431,2.1362,2.135,0.0226,68.6741,1
31,2.205055,0.0,2.9639,2.9822,58.29,2.1385,2.136,0.0236,68.608,1
32,2.273629,0.0,2.9784,2.9968,58.2226,2.1347,2.1272,0.0237,68.5592,1
33,2.342282,0.0,2.9651,2.9953,58.3012,2.1413,2.1369,0.0232,68.6374,1
34,2.410944,0.0,2.9635,3.0031,58.3112,2.1365,2.1349,0.0225,68.6466,1
35,2.479616,0.0,2.9764,2.9971,58.3129,2.1418,2.1308,0.0233,68.6566,1
36,2.549179,0.0,2.9559,2.9843,59.231,2.1352,2.1412,0.0256,69.5482,1
37,2.617798,0.0,2.9631,2.9843,58.2838,2.1354,2.1373,0.0242,68.6043,1
38,2.686434,0.0,2.9711,2.9891,58.3113,2.1273,2.1247,0.0225,68.6207,1
39,2.755026,0.0,2.9685,2.9969,58.2509,2.1331,2.1277,0.0223,68.5753,1
40,2.82369,0.0,3.0156,2.9969,58.2717,2.134,2.1341,0.023,68.6489,1
41,2.892325,0.0,2.9713,2.994,58.2766,2.1413,2.1377,0.0226,68.6193,1
42,2.960926,0.0,2.9744,2.9909,58.218,2.1692,2.1341,0.0228,68.5858,1
43,3.029522,0.0,2.9807,3.0034,58.2331,2.1327,2.1328,0.0229,68.5804,1
44,3.099165,0.0,2.9781,2.997,59.2635,2.1387,2.1532,0.0229,69.6273,1
45,3.1678,0.0,2.9593,2.996,58.2995,2.1363,2.1283,0.0229,68.6167,1
46,3.236455,0.0,2.9666,2.9978,58.3075,2.1396,2.132,0.0226,68.6395,1
47,3.305092,0.0,2.9769,2.9929,58.2766,2.1404,2.135,0.024,68.6213,1
48,3.373778,0.0,2.9711,2.9873,58.3447,2.1345,2.1336,0.0236,68.6709,1
49,3.442419,0.0,2.9769,3.0103,58.2547,2.1475,2.1398,0.0229,68.6267,1
50,3.510997,0.0,2.9662,2.9845,58.2321,2.143,2.1376,0.0235,68.5634,1
51,3.580393,0.0,2.9711,3.0015,58.9914,2.1386,2.1332,0.0241,69.3355,1
52,3.648991,0.0,2.9653,2.9865,58.2559,2.1347,2.1419,0.0236,68.5831,1
53,3.717683,0.0,2.9752,3.0014,58.3343,2.1386,2.1287,0.0242,68.6768,1
54,3.78633,0.0,2.9755,2.9955,58.2892,2.1395,2.134,0.0236,68.6311,1
55,3.855016,0.0,2.9789,2.9953,58.3276,2.1361,2.1343,0.0241,68.6709,1
56,3.923623,0.0,2.9902,3.0201,58.2104,2.1369,2.1338,0.0251,68.5912,1
57,3.99228,0.0,2.9711,2.9775,58.3223,2.1348,2.1348,0.0237,68.6412,1
58,4.062248,0.0,2.9722,3.001,58.9909,2.1887,2.7022,0.0228,69.9529,1
59,4.131716,0.0,2.9672,2.9874,58.9352,2.1434,2.3208,0.0234,69.4528,1
60,4.200448,0.0,2.9834,3.0079,58.3419,2.1511,2.1348,0.0237,68.7163,1
61,4.269253,0.0,2.9817,3.0091,58.4061,2.1448,2.1484,0.0235,68.7887,1
62,4.337937,0.0,2.9856,3.0054,58.3027,2.1415,2.1343,0.0236,68.6685,1
63,4.406656,0.0,2.9823,3.011,58.3321,2.1371,2.1427,0.0232,68.7026,1
64,4.475337,0.0,2.9693,3.0046,58.3074,2.1429,2.1449,0.0233,68.6656,1
65,4.54506,0.0,2.9756,2.9987,58.4585,2.143,3.0336,0.0236,69.7073,1
66,4.61385,0.0,2.9828,3.0022,58.4198,2.139,2.1332,0.0232,68.7749,1
67,4.682544,0.0,2.99,3.0115,58.2879,2.1535,2.1355,0.0236,68.6781,1
68,4.751211,0.0,2.9779,2.991,58.3073,2.1435,2.1321,0.0235,68.6508,1
69,4.819892,0.0,2.9691,3.0029,58.3075,2.1402,2.1458,0.0226,68.6661,1
70,4.888634,0.0,2.9769,3.0029,58.354,2.1435,2.1373,0.0237,68.7139,1
71,4.957424,0.0,2.9787,3.0038,58.4079,2.1463,2.1388,0.0233,68.7743,1
72,5.0261,0.0,3.0113,2.9978,58.274,2.1433,2.1355,0.0236,68.6603,1
73,5.095746,0.0,2.9912,3.003,59.2575,2.1425,2.1386,0.0225,69.6304,1
74,5.165167,0.0,2.9835,2.9991,59.0418,2.141,2.1421,0.023,69.405,1
75,5.233842,0.0,2.9786,2.9963,58.303,2.1469,2.1341,0.023,68.6574,1
76,5.302566,0.0,2.9843,3.0048,58.3278,2.1474,2.1464,0.0238,68.7088,1
77,5.371248,0.0,2.9691,2.9927,58.3131,2.1516,2.1389,0.0232,68.6654,1
78,5.440008,0.0,2.9655,2.9951,58.4121,2.14,2.1345,0.0222,68.7446,1
79,5.50877,0.0,2.9875,3.0114,58.3685,2.1371,2.1443,0.0225,68.7465,1
80,5.578555,0.0,2.9998,3.0044,59.3721,2.1443,2.1389,0.0231,69.7574,1
81,5.647982,0.0,2.9867,3.0021,59.0486,2.1389,2.1374,0.0229,69.4119,1
82,5.716607,0.0,2.9868,3.0152,58.2307,2.1456,2.1335,0.0228,68.61,1
83,5.785286,0.0,2.9733,3.0069,58.2877,2.1514,2.1448,0.023,68.6629,1
84,5.853996,0.0,2.97,3.0117,58.337,2.1397,2.1373,0.0222,68.6936,1
85,5.922805,0.0,2.9871,3.0353,58.3866,2.152,2.1335,0.0234,68.7939,1
86,5.991583,0.0,2.9854,3.0043,58.4008,2.1403,2.1351,0.0227,68.7633,1
87,6.061112,0.0,2.9685,3.004,59.1567,2.1403,2.1444,0.0227,69.513,1
88,6.130083,0.0,2.9712,3.0164,58.5888,2.143,2.137,0.0241,68.9558,1
89,6.198762,0.0,2.974,3.0005,58.3148,2.1394,2.1357,0.0227,68.6617,1
