frame_idx,t_wall_s,opus_ms,encode_main_ms,encode_other_ms,step_ms,decode_main_ms,decode_other_ms,d2h_ms,total_ms,warm
0,0.081195,0.0,3.4169,3.9374,69.1288,2.256,2.1418,0.0627,81.1178,0
1,0.158943,0.0,3.1478,3.0407,67.0156,2.1607,2.1687,0.0347,77.6721,0
2,0.236554,0.0,3.0088,3.1792,66.9661,2.1555,2.1549,0.0305,77.5878,0
3,0.314061,0.0,3.0056,3.0079,67.0693,2.15,2.1385,0.0277,77.4863,0
4,0.391567,0.0,3.0024,3.0193,67.0619,2.1478,2.1459,0.0252,77.4884,0
5,0.46902,0.0,2.981,3.0102,67.0588,2.1399,2.1425,0.0241,77.4361,0
6,0.547242,0.0,2.9979,3.0161,67.8011,2.142,2.1452,0.0244,78.2053,0
7,0.62474,0.0,2.9917,3.0082,67.1,2.1359,2.1423,0.0248,77.4817,0
8,0.702107,0.0,2.9809,3.0102,66.9875,2.1376,2.1303,0.0249,77.35,0
9,0.77945,0.0,2.9909,3.0086,66.9491,2.1397,2.1386,0.0243,77.3269,0
10,0.856932,0.0,2.979,3.0157,67.0742,2.1418,2.1393,0.0241,77.4526,0
11,0.934322,0.0,2.9857,3.0103,67.0028,2.1373,2.1344,0.0245,77.3729,0
12,1.013091,0.0,2.9774,3.0091,68.3838,2.1453,2.1346,0.024,78.7523,0
13,1.090509,0.0,2.9926,3.0172,67.0152,2.1386,2.1359,0.0237,77.4022,0
14,1.16791,0.0,2.9748,2.9965,67.0203,2.154,2.1373,0.0244,77.3855,0
15,1.245389,0.0,2.9855,3.0054,67.072,2.1486,2.149,0.0238,77.4637,0
16,1.322827,0.0,2.979,3.0094,67.0562,2.1441,2.1299,0.024,77.4224,0
17,1.400864,0.0,2.9905,2.9947,67.641,2.1485,2.1438,0.0251,78.0209,0
18,1.478869,0.0,2.9881,3.0152,67.5762,2.1639,2.1362,0.0291,77.9884,0
19,1.557899,0.0,2.988,3.0217,68.3669,2.3321,2.1662,0.0456,79.0114,0
20,1.636154,0.0,3.0648,3.1134,67.383,2.3189,2.1841,0.0442,78.229,0
21,1.714253,0.0,3.0549,3.081,67.3459,2.2732,2.1624,0.0436,78.0716,0
22,1.791983,0.0,3.0497,3.0491,67.1456,2.1648,2.1476,0.0317,77.7029,0
23,1.87023,0.0,3.0195,3.0197,67.7938,2.1422,2.134,0.0267,78.2288,0
24,1.947738,0.0,3.0007,3.0075,67.0573,2.1798,2.1343,0.025,77.4906,0
25,2.026493,0.0,2.9832,3.0184,68.3372,2.1442,2.1513,0.0233,78.739,1
26,2.103943,0.0,2.9908,3.0009,67.0565,2.1404,2.1388,0.0247,77.4327,1
27,2.181321,0.0,2.9989,3.0041,66.984,2.1362,2.1357,0.0248,77.3627,1
28,2.259377,0.0,2.9886,3.022,67.6483,2.1423,2.1354,0.0241,78.04,1
29,2.336769,0.0,2.9979,3.0415,66.9649,2.1334,2.1312,0.024,77.3768,1
30,2.414121,0.0,2.9826,3.0039,66.9553,2.1402,2.1382,0.0244,77.3233,1
31,2.491563,0.0,2.9845,3.0051,67.0533,2.1401,2.1386,0.0241,77.4256,1
32,2.569882,0.0,2.9765,2.9976,67.946,2.1408,2.1368,0.0243,78.3031,1
33,2.647312,0.0,2.9759,3.0098,67.0374,2.1404,2.1468,0.0241,77.4141,1
34,2.724781,0.0,3.0065,3.0034,67.0668,2.1372,2.1352,0.0246,77.4524,1
35,2.802355,0.0,3.0136,3.0041,67.1573,2.1392,2.1418,0.0231,77.5576,1
36,2.879852,0.0,2.9812,3.0076,67.1148,2.1378,2.1335,0.0241,77.482,1
37,2.957316,0.0,2.9847,3.0057,67.0732,2.1392,2.1401,0.0236,77.4478,1
38,3.036038,0.0,2.9937,3.0042,68.318,2.1447,2.1423,0.0238,78.7062,1
39,3.113483,0.0,2.9825,3.0127,67.039,2.1427,2.1484,0.0237,77.4289,1
40,3.190891,0.0,2.9931,3.0071,66.9982,2.1326,2.1389,0.0244,77.3728,1
41,3.268317,0.0,2.9774,2.9983,67.0295,2.1641,2.142,0.0234,77.4104,1
