frame_idx,t_wall_s,opus_ms,encode_main_ms,encode_other_ms,step_ms,decode_main_ms,decode_other_ms,d2h_ms,total_ms,warm
0,0.107474,0.0,3.3713,4.1003,95.3544,2.1815,2.1369,0.0522,107.381,0
1,0.210231,0.0,3.0071,2.9943,92.3332,2.1276,2.1246,0.0257,102.6905,0
2,0.311661,0.0,2.978,2.99,91.1282,2.1083,2.1098,0.0233,101.4115,0
3,0.41376,0.0,2.9602,2.9942,91.8203,2.1109,2.1037,0.0218,102.0832,0
4,0.51514,0.0,2.9752,2.9816,91.0802,2.1114,2.123,0.0223,101.3648,0
5,0.616475,0.0,2.9542,2.9885,91.0614,2.1041,2.1191,0.0214,101.32,0
6,0.719989,0.0,2.9664,2.9865,93.2506,2.1005,2.1038,0.0215,103.4991,0
7,0.821477,0.0,2.9864,2.9933,91.1846,2.1072,2.1096,0.0214,101.4734,0
8,0.922821,0.0,2.9712,2.9791,91.0562,2.1094,2.1219,0.0218,101.3294,0
9,1.024225,0.0,2.973,2.9903,91.1052,2.112,2.114,0.0215,101.388,0
10,1.126097,0.0,2.9681,2.9886,91.5802,2.1093,2.118,0.0245,101.858,0
11,1.229234,0.0,3.9375,2.9876,91.8903,2.1072,2.1071,0.0215,103.1216,0
12,1.330628,0.0,2.9678,2.9853,91.1162,2.1103,2.1084,0.0213,101.3795,0
13,1.432025,0.0,2.9723,2.9919,91.0967,2.1112,2.1195,0.0217,101.3834,0
14,1.533387,0.0,2.9569,2.9872,91.0921,2.1054,2.1145,0.0218,101.3478,0
15,1.635632,0.0,2.9604,2.9857,91.9705,2.1101,2.1133,0.0214,102.2312,0
16,1.736994,0.0,2.9636,2.9862,91.0855,2.1104,2.1107,0.0216,101.3482,0
17,1.838505,0.0,2.9641,2.9968,91.2295,2.1078,2.1062,0.0226,101.4976,0
18,1.939886,0.0,2.9698,2.9961,91.0883,2.1054,2.1145,0.0221,101.3674,0
19,2.041195,0.0,2.9733,2.987,91.0174,2.1132,2.1124,0.0215,101.2948,0
20,2.143937,0.0,2.9651,2.9829,92.4694,2.1033,2.1165,0.0213,102.7283,0
21,2.245327,0.0,2.9728,2.9884,91.0824,2.127,2.1149,0.0216,101.3763,0
22,2.346685,0.0,2.9638,2.9883,91.0771,2.113,2.112,0.0211,101.3444,0
23,2.448059,0.0,2.9602,2.9848,91.0988,2.1096,2.1156,0.0213,101.3603,0
24,2.550155,0.0,2.9778,2.9836,91.802,2.1068,2.118,0.0214,102.0816,0
25,2.652527,0.0,2.9641,2.9823,92.0917,2.1018,2.1152,0.0212,102.3461,1
26,2.753895,0.0,2.9597,2.9886,91.0904,2.1059,2.1194,0.0211,101.3544,1
27,2.855398,0.0,2.9628,2.998,91.2204,2.111,2.1066,0.0213,101.4887,1
28,2.956808,0.0,2.9626,2.9839,91.1426,2.1078,2.1088,0.0217,101.397,1
29,3.058883,0.0,2.986,2.9886,91.1349,2.7469,2.1138,0.0216,102.0608,1
30,3.16153,0.0,2.9706,2.983,92.3857,2.0986,2.1044,0.0214,102.6335,1
31,3.263671,0.0,2.9646,2.9952,91.8441,2.1204,2.1126,0.0205,102.1272,1
32,3.365109,0.0,2.9685,2.9848,91.1536,2.1112,2.1162,0.0211,101.424,1
33,3.466498,0.0,2.9626,2.9768,91.1238,2.1136,2.1084,0.0212,101.3749,1
34,3.568621,0.0,2.9647,2.9866,91.8549,2.1055,2.1082,0.0213,102.1098,1
35,3.671242,0.0,2.9614,2.9805,92.3514,2.107,2.1074,0.0213,102.5981,1
36,3.772709,0.0,2.9714,2.999,91.1801,2.1069,2.1057,0.0213,101.4535,1
37,3.874051,0.0,2.9617,2.9877,91.0727,2.1018,2.1148,0.0207,101.3285,1
38,3.975621,0.0,2.9629,2.978,91.3096,2.107,2.1049,0.0223,101.5569,1
39,4.077582,0.0,2.9742,2.9851,91.6806,2.1064,2.1125,0.0213,101.9477,1
40,4.179845,0.0,2.9613,3.0015,91.9849,2.1068,2.1041,0.0216,102.2494,1
41,4.281221,0.0,2.9704,2.9862,91.098,2.1071,2.1088,0.0211,101.362,1
42,4.382555,0.0,2.9647,2.9899,91.0649,2.1026,2.1076,0.0213,101.3202,1
43,4.483922,0.0,2.9662,2.9867,91.1007,2.1016,2.1085,0.0213,101.3537,1
44,4.585274,0.0,2.9747,2.9833,91.0537,2.1188,2.1183,0.0207,101.3386,1
45,4.688032,0.0,2.9687,2.9914,92.4549,2.1157,2.1173,0.0208,102.7372,1
46,4.789511,0.0,2.9688,2.9875,91.2067,2.1013,2.1068,0.0216,101.465,1
47,4.890822,0.0,2.9568,2.9791,91.0653,2.1027,2.1022,0.0221,101.2983,1
48,4.992197,0.0,2.9734,2.9822,91.0938,2.1086,2.1132,0.0209,101.3619,1
49,5.094141,0.0,2.9663,2.9881,91.6517,2.1125,2.1213,0.021,101.9301,1
50,5.196771,0.0,2.9672,2.9866,92.347,2.1144,2.1094,0.0211,102.6156,1
51,5.298249,0.0,2.9789,2.9907,91.1534,2.1128,2.1083,0.0213,101.4354,1
52,5.399626,0.0,2.9747,2.9793,91.1126,2.1066,2.1007,0.0213,101.364,1
53,5.501769,0.0,2.9717,3.0059,91.8452,2.1048,2.1123,0.021,102.1289,1
54,5.603201,0.0,2.9931,3.0039,91.1039,2.1043,2.1233,0.0209,101.4181,1
55,5.706018,0.0,3.0136,2.9769,92.4501,2.1117,2.1524,0.022,102.7958,1
56,5.807496,0.0,2.9645,2.9893,91.1796,2.1244,2.1158,0.0213,101.4644,1
57,5.908861,0.0,2.9696,2.9837,91.0873,2.1163,2.1045,0.0208,101.3513,1
58,6.010262,0.0,2.9718,2.9853,91.1181,2.1141,2.1089,0.021,101.3876,1
59,6.112115,0.0,2.9628,2.9857,91.5751,2.1112,2.1156,0.0212,101.8399,1
60,6.214906,0.0,2.9717,2.9914,92.4896,2.119,2.1163,0.0211,102.7772,1
61,6.316284,0.0,2.9696,2.9797,91.1044,2.1017,2.1177,0.0217,101.3639,1
62,6.418396,0.0,2.9636,2.9798,91.5339,2.4214,2.1076,0.0219,102.0987,1
63,6.51974,0.0,2.9684,2.9764,91.0873,2.0963,2.1113,0.0215,101.3303,1
64,6.622028,0.0,2.963,2.9873,92.0189,2.0992,2.1168,0.0212,102.2751,1
65,6.724995,0.0,2.9791,2.9965,92.6116,2.1269,2.132,0.0229,102.9451,1
66,6.828117,0.0,3.0059,3.02,92.6245,2.1918,2.1536,0.0337,103.1076,1
67,6.9308,0.0,3.0183,3.0282,92.2165,2.1425,2.1324,0.0319,102.6633,1
68,7.032376,0.0,3.0175,3.0259,91.1746,2.1107,2.1143,0.0239,101.5554,1
69,7.135264,0.0,2.9817,3.0089,92.4709,2.2079,2.108,0.022,102.8737,1
70,7.236682,0.0,2.9708,2.9857,91.1208,2.1114,2.1171,0.0226,101.4026,1
71,7.338142,0.0,2.9698,3.0074,91.1371,2.1056,2.1303,0.0221,101.4451,1
72,7.439565,0.0,2.9705,2.9893,91.134,2.1041,2.1145,0.0225,101.4087,1
73,7.541045,0.0,2.9734,2.9943,91.1766,2.1048,2.124,0.0212,101.4665,1
74,7.643355,0.0,2.9665,2.9882,92.0121,2.1152,2.1169,0.0219,102.2958,1
75,7.744771,0.0,2.9696,2.9871,91.1385,2.0989,2.1027,0.0212,101.3893,1
76,7.846299,0.0,2.9821,2.9914,91.2356,2.1033,2.1093,0.021,101.5134,1
77,7.947736,0.0,2.9857,2.988,91.1293,2.104,2.124,0.0211,101.4221,1
78,8.049181,0.0,2.9708,2.9798,91.156,2.1129,2.1206,0.0206,101.4311,1
79,8.152061,0.0,2.9641,2.9936,92.5888,2.1127,2.1164,0.0212,102.8665,1
80,8.253488,0.0,2.9769,2.9911,91.1287,2.1091,2.1132,0.0213,101.4092,1
81,8.35491,0.0,2.9683,2.9841,91.1485,2.1091,2.1081,0.0211,101.4091,1
82,8.456387,0.0,2.9809,2.9876,91.1861,2.1043,2.1129,0.0214,101.4631,1
83,8.557759,0.0,2.9665,2.9859,91.1005,2.1051,2.1092,0.0209,101.3578,1
84,8.660472,0.0,2.974,2.9946,92.423,2.1043,2.1137,0.0205,102.6994,1
85,8.761924,0.0,2.9736,2.9852,91.1602,2.1065,2.1131,0.0212,101.4297,1
86,8.863523,0.0,3.125,3.0028,91.1507,2.1008,2.1155,0.0214,101.5852,1
87,8.964979,0.0,2.9683,2.9879,91.1632,2.1134,2.1203,0.0214,101.4429,1
88,9.066401,0.0,2.9712,2.9924,91.1412,2.1064,2.1062,0.0214,101.4083,1
89,9.169656,0.0,2.9751,2.988,92.9697,2.1077,2.1097,0.021,103.2408,1
90,9.271043,0.0,2.9631,2.9846,91.1021,2.1161,2.116,0.0213,101.3729,1
91,9.372433,0.0,2.9718,2.9926,91.098,2.1088,2.112,0.0206,101.3767,1
92,9.474598,0.0,2.9715,2.9763,91.883,2.1167,2.1117,0.0212,102.1507,1
93,9.576053,0.0,2.9725,2.9929,91.1689,2.1023,2.1154,0.0211,101.4419,1
94,9.678861,0.0,2.9748,2.9811,92.5152,2.1151,2.1138,0.0215,102.7947,1
95,9.780442,0.0,2.9801,3.0013,91.2662,2.1084,2.1122,0.0209,101.5587,1
96,9.881857,0.0,2.9724,2.9969,91.1277,2.1081,2.1061,0.021,101.4016,1
97,9.983365,0.0,2.9789,3.002,91.1648,2.1441,2.1143,0.0211,101.4947,1
98,10.084796,0.0,2.9694,2.9909,91.1545,2.1034,2.1088,0.0212,101.4178,1
99,10.188089,0.0,2.9665,2.998,92.9905,2.1079,2.1258,0.0215,103.2794,1
100,10.289542,0.0,2.9688,2.9913,91.1661,2.1064,2.1151,0.0214,101.4396,1
101,10.391041,0.0,2.9808,2.9857,91.1397,2.1043,2.1283,0.0206,101.4305,1
102,10.493255,0.0,2.979,2.9978,91.894,2.1095,2.1232,0.0213,102.2004,1
103,10.594622,0.0,2.9655,3.0066,91.086,2.1037,2.1005,0.021,101.3534,1
104,10.69794,0.0,2.9696,2.9914,92.6825,2.4536,2.1177,0.0208,103.3048,1
105,10.80026,0.0,2.9756,2.9942,92.0173,2.1119,2.109,0.0216,102.2991,1
106,10.901679,0.0,2.9738,2.9825,91.1388,2.0988,2.1219,0.021,101.4059,1
107,11.003883,0.0,2.9802,2.9834,91.9099,2.1018,2.1237,0.0213,102.1895,1
108,11.10531,0.0,2.9681,3.046,91.0884,2.1173,2.1015,0.0216,101.4129,1
109,11.208514,0.0,2.9708,2.9947,92.8716,2.1137,2.147,0.0216,103.1903,1
110,11.309961,0.0,2.9894,2.9832,91.1021,2.1045,2.1602,0.0215,101.432,1
111,11.411411,0.0,2.9743,2.9968,91.1113,2.1384,2.1239,0.0217,101.4369,1
112,11.51289,0.0,2.9881,2.9869,91.1679,2.1214,2.1076,0.0219,101.4647,1
113,11.614274,0.0,2.9718,2.9895,91.0879,2.1087,2.1195,0.0216,101.37,1
114,11.716921,0.0,2.9724,2.9945,92.3343,2.1199,2.121,0.0213,102.6336,1
