frame,fp8_diverged,fp8_text_l2,fp8_text_maxabs,fp8_audio_l2,fp8_audio_maxabs,fp8_rms,fp8_click,fp8_centroid_hz,fp8_flatness,w8a16_diverged,w8a16_text_l2,w8a16_text_maxabs,w8a16_audio_l2,w8a16_audio_maxabs,w8a16_rms,w8a16_click,w8a16_centroid_hz,w8a16_flatness,nvfp4ffn-w8a16_diverged,nvfp4ffn-w8a16_text_l2,nvfp4ffn-w8a16_text_maxabs,nvfp4ffn-w8a16_audio_l2,nvfp4ffn-w8a16_audio_maxabs,nvfp4ffn-w8a16_rms,nvfp4ffn-w8a16_click,nvfp4ffn-w8a16_centroid_hz,nvfp4ffn-w8a16_flatness
0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,58.8658,1.4766,83.1543,3.6250,,,,,0,81.2293,1.4531,43.2886,4.3750,,,,,0,301.0423,4.1250,171.3048,8.5625,,,,
3,0,39.8901,0.9766,67.5855,3.0000,,,,,0,54.2792,0.9375,51.2394,2.0625,,,,,0,78.1557,2.0840,180.5883,6.8750,,,,
4,0,100.1960,1.4375,78.3527,3.3828,,,,,0,34.0913,0.7344,66.4798,5.1250,,,,,0,91.9965,2.3203,170.2167,8.7500,,,,
5,0,45.0761,1.0859,74.6638,3.6875,,,,,0,51.2306,0.8750,66.6323,4.8750,,,,,0,101.3002,2.5938,155.2613,8.8750,,,,
6,0,38.7924,0.9785,67.6886,3.3125,,,,,0,40.1706,0.7812,60.5440,4.0000,,,,,0,157.5560,2.5508,151.7729,8.1719,,,,
7,0,35.7218,0.9590,69.5283,3.8125,,,,,0,33.9304,0.7500,55.0352,2.8750,,,,,0,170.5669,2.9844,131.8245,5.4492,,,,
8,0,45.8783,1.0156,64.2219,2.6250,,,,,0,25.5786,0.7734,45.5322,2.0000,,,,,0,94.8181,2.5781,113.7554,6.0625,,,,
9,0,45.8612,0.9844,66.8415,2.9375,,,,,0,24.3273,0.5781,48.3997,2.5000,,,,,0,77.2385,1.8125,100.2247,5.6562,,,,
10,0,44.6347,1.1250,60.4748,3.0000,,,,,0,23.8649,0.5352,45.0019,2.1250,,,,,0,68.5300,2.0742,98.9329,5.4453,,,,
11,0,34.2388,0.8828,69.5614,4.3125,,,,,0,23.8202,0.5312,36.7409,1.3750,,,,,0,66.2474,2.3438,106.9007,5.4648,,,,
12,0,42.0176,0.9375,43.5975,2.5000,,,,,0,27.7460,0.6406,32.9534,1.3125,,,,,0,69.1408,1.8984,95.7201,4.5625,,,,
13,0,42.7813,0.9844,50.0363,2.7188,,,,,0,25.0644,0.6250,33.7146,2.0312,,,,,0,69.8480,1.9375,102.7482,5.5000,,,,
