frame,fp8_diverged,fp8_text_l2,fp8_text_maxabs,fp8_audio_l2,fp8_audio_maxabs,fp8_rms,fp8_click,fp8_centroid_hz,fp8_flatness,w8a16_diverged,w8a16_text_l2,w8a16_text_maxabs,w8a16_audio_l2,w8a16_audio_maxabs,w8a16_rms,w8a16_click,w8a16_centroid_hz,w8a16_flatness
0,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,
2,0,55.5987,1.4531,139.8085,5.7500,0.00072,0.01129,127.1,0.00222,1,73.9631,1.3750,279.7880,14.5859,0.00071,0.01130,79.8,0.00075
3,1,238.4241,3.1250,313.7881,16.0625,0.00022,0.00001,3.6,0.00007,1,,,,,0.00022,0.00000,3.3,0.00005
4,1,,,,,0.00022,0.00000,3.3,0.00006,1,,,,,0.00022,0.00000,17.5,0.00101
5,1,,,,,0.00022,0.00000,3.1,0.00005,1,,,,,0.00022,0.00000,8.5,0.00046
6,1,,,,,0.00022,0.00001,3.0,0.00004,1,,,,,0.00022,0.00000,3.1,0.00005
7,1,,,,,0.00022,0.00000,3.1,0.00004,1,,,,,0.00022,0.00000,3.1,0.00004
8,1,,,,,0.00078,0.00000,290.1,0.00518,1,,,,,0.00292,0.00000,1437.2,0.00038
9,1,,,,,0.05087,0.00001,506.2,0.00042,1,,,,,0.01524,0.00055,1862.6,0.00088
10,1,,,,,0.11448,0.00284,616.1,0.00025,1,,,,,0.07742,0.00688,1014.9,0.00069
11,1,,,,,0.11035,0.00056,711.1,0.00039,1,,,,,0.05033,0.00982,371.8,0.00006
12,1,,,,,0.07990,0.00386,538.1,0.00006,1,,,,,0.01148,0.00093,364.6,0.00041
13,1,,,,,0.04931,0.00605,367.7,0.00000,1,,,,,0.05174,0.00480,511.3,0.00009
14,1,,,,,0.01802,0.00226,272.5,0.00000,1,,,,,0.04700,0.00763,691.1,0.00003
15,1,,,,,0.02911,0.00023,352.3,0.00001,1,,,,,0.03262,0.00451,714.2,0.00001
16,1,,,,,0.08526,0.01136,688.5,0.00002,1,,,,,0.01447,0.00128,487.0,0.00008
17,1,,,,,0.04595,0.00963,731.4,0.00001,1,,,,,0.00289,0.00005,1292.5,0.00016
18,1,,,,,0.02422,0.00002,392.2,0.00003,1,,,,,0.00036,0.00029,265.8,0.00116
19,1,,,,,0.02679,0.00039,309.9,0.00001,1,,,,,0.01315,0.00003,2132.0,0.00077
20,1,,,,,0.00808,0.00023,5866.9,0.12394,1,,,,,0.05724,0.00220,700.0,0.00001
21,1,,,,,0.03096,0.00184,321.1,0.00001,1,,,,,0.00399,0.00098,1952.5,0.00808
22,1,,,,,0.02833,0.00420,660.1,0.00006,1,,,,,0.04195,0.00097,395.1,0.00000
23,1,,,,,0.01449,0.00172,246.9,0.00005,1,,,,,0.04707,0.00323,683.9,0.00002
