frame_idx,t_wall_s,opus_ms,encode_main_ms,encode_other_ms,step_ms,decode_main_ms,decode_other_ms,d2h_ms,total_ms,warm
0,0.059364,0.0,3.3641,3.5037,47.9234,2.1358,2.1105,0.0521,59.2777,0
1,0.113402,0.0,3.0986,2.9653,43.5749,2.1096,2.1289,0.0259,53.9826,0
2,0.167371,0.0,2.9876,3.0351,43.6161,2.1042,2.1137,0.0236,53.9518,0
3,0.221172,0.0,2.9689,2.9432,43.5517,2.0993,2.1324,0.0213,53.7866,0
4,0.275016,0.0,2.9621,2.9436,43.6009,2.1055,2.124,0.0216,53.8292,0
5,0.328768,0.0,2.9624,2.9436,43.5245,2.0936,2.1228,0.0212,53.7369,0
6,0.382578,0.0,2.9603,2.9408,43.5673,2.1105,2.1262,0.0212,53.7955,0
7,0.436344,0.0,2.9596,2.9422,43.5381,2.1034,2.119,0.0213,53.7512,0
8,0.49019,0.0,2.9946,2.9611,43.5738,2.0916,2.1215,0.0213,53.8313,0
9,0.544892,0.0,3.7926,2.9393,43.6448,2.0992,2.1224,0.0211,54.6877,0
10,0.598678,0.0,2.9681,2.9412,43.5472,2.1044,2.1213,0.0214,53.7718,0
11,0.652489,0.0,2.9673,2.941,43.5635,2.0987,2.1262,0.0245,53.7899,0
12,0.70695,0.0,2.9734,2.9442,43.5473,2.1024,2.7894,0.0219,54.4473,0
13,0.76118,0.0,3.3877,2.94,43.5707,2.0956,2.1347,0.021,54.2169,0
14,0.814965,0.0,2.9583,2.9506,43.55,2.1014,2.1236,0.0212,53.7717,0
15,0.868787,0.0,2.9629,2.9409,43.6015,2.0965,2.1196,0.0212,53.8095,0
16,0.922557,0.0,2.9608,2.9402,43.5351,2.1064,2.1245,0.0208,53.7563,0
17,0.976279,0.0,2.9664,2.9353,43.5155,2.0884,2.1138,0.021,53.7081,0
18,1.030861,0.0,2.9601,2.9561,44.3526,2.0963,2.1141,0.0208,54.5679,0
19,1.085128,0.0,2.9621,2.9518,44.0338,2.0986,2.1181,0.0212,54.2529,0
20,1.138928,0.0,2.9749,2.9352,43.566,2.0957,2.1252,0.0211,53.786,0
21,1.192754,0.0,2.9957,2.9428,43.5558,2.0935,2.1296,0.0209,53.8048,0
22,1.246558,0.0,2.9672,2.9412,43.5586,2.1005,2.1344,0.0208,53.7907,0
23,1.300297,0.0,2.962,2.9384,43.5181,2.0971,2.1205,0.0217,53.7253,0
24,1.354125,0.0,2.9861,2.9481,43.5776,2.1026,2.113,0.0207,53.8151,0
25,1.407844,0.0,2.96,2.9375,43.51,2.0901,2.1222,0.0207,53.7059,1
