frame_idx,t_wall_s,opus_ms,encode_main_ms,encode_other_ms,step_ms,decode_main_ms,decode_other_ms,d2h_ms,total_ms,warm
0,0.066555,0.0,3.3606,3.6227,54.8967,2.1839,2.1498,0.0605,66.4672,0
1,0.129018,0.0,3.1287,3.0259,51.8065,2.1519,2.1509,0.0338,62.3965,0
2,0.190643,0.0,3.02,3.1235,51.0561,2.1376,2.1518,0.0307,61.6035,0
3,0.252108,0.0,2.9958,3.0078,51.0641,2.1284,2.1411,0.0264,61.4465,0
4,0.313715,0.0,3.0486,3.003,51.1616,2.1285,2.1398,0.0265,61.5889,0
5,0.375087,0.0,2.9945,2.9965,50.996,2.1215,2.1415,0.0247,61.3543,0
6,0.43728,0.0,2.9788,2.9987,51.8336,2.1255,2.1366,0.0244,62.1756,0
7,0.498653,0.0,2.9875,3.0016,50.9994,2.1319,2.1336,0.024,61.3558,0
8,0.560043,0.0,2.9837,3.0018,51.0419,2.1173,2.1287,0.0239,61.3731,0
9,0.62134,0.0,2.9735,2.9869,50.965,2.124,2.1305,0.0238,61.2803,0
10,0.683743,0.0,4.0071,2.9984,51.0183,2.129,2.1332,0.0245,62.3874,0
11,0.745102,0.0,2.9889,2.9857,50.9881,2.1243,2.1388,0.0239,61.3258,0
12,0.806443,0.0,2.99,2.9929,50.9816,2.1186,2.1398,0.0248,61.3249,0
13,0.867745,0.0,2.9789,2.9785,50.9657,2.1232,2.1384,0.0239,61.2829,0
14,0.929076,0.0,2.9812,2.9931,50.986,2.1233,2.1333,0.0236,61.3156,0
15,0.990386,0.0,2.9903,2.9955,50.9543,2.1197,2.1336,0.0243,61.2941,0
16,1.052227,0.0,2.9856,3.0026,51.483,2.1184,2.1369,0.0235,61.8255,0
17,1.113602,0.0,3.0228,2.9924,50.9833,2.1241,2.1371,0.0236,61.3591,0
18,1.17588,0.0,2.9838,2.9818,51.9244,2.1275,2.1466,0.0236,62.2626,0
19,1.237326,0.0,2.9755,2.9908,51.1148,2.1245,2.1294,0.0234,61.4304,0
20,1.298639,0.0,2.9886,2.9947,50.9437,2.1308,2.1376,0.0235,61.2982,0
21,1.359985,0.0,2.9926,2.9898,50.9796,2.1222,2.1323,0.0237,61.3155,0
22,1.421293,0.0,2.9816,2.9899,50.9741,2.1099,2.1376,0.0233,61.293,0
23,1.482655,0.0,2.9839,2.9944,51.0094,2.1252,2.1344,0.0243,61.347,0
24,1.544004,0.0,2.9766,2.9801,51.017,2.1221,2.14,0.0242,61.3344,0
25,1.60534,0.0,2.9778,2.9915,50.991,2.1207,2.139,0.0243,61.3193,1
26,1.667603,0.0,2.9843,2.9889,51.9053,2.1292,2.1408,0.0242,62.2489,1
27,1.72887,0.0,2.9781,2.9916,50.921,2.1289,2.1322,0.024,61.2513,1
28,1.790162,0.0,2.9753,2.9969,50.9526,2.1214,2.1321,0.0239,61.2778,1
29,1.851464,0.0,2.9871,3.0068,50.9391,2.1164,2.1362,0.0248,61.2868,1
