frame_idx,t_wall_s,opus_ms,encode_main_ms,encode_other_ms,step_ms,decode_main_ms,decode_other_ms,d2h_ms,total_ms,warm
0,0.052396,0.0,2.7434,0.0,47.6296,1.674,0.0,0.0536,52.3066,0
1,0.099277,0.0,2.0111,0.0,43.2077,1.5029,0.0,0.0278,46.8256,0
2,0.49979,0.0,1.8296,0.0,43.2005,355.3198,0.0,0.0709,400.497,0
3,0.548027,0.0,2.3716,0.0,44.1393,1.5398,0.0,0.0311,48.2126,0
4,0.596216,0.0,1.875,0.0,44.7117,1.4749,0.0,0.0267,48.1704,0
5,0.64284,0.0,1.8277,0.0,43.2269,1.4587,0.0,0.0227,46.6079,0
6,0.689432,0.0,1.8035,0.0,43.2237,1.453,0.0,0.0231,46.5778,0
7,0.73763,0.0,1.788,0.0,44.6105,1.6937,0.0,0.0229,48.1826,0
8,0.78448,0.0,1.7894,0.0,43.184,1.7551,0.0,0.0361,46.8361,0
9,0.831482,0.0,2.1741,0.0,43.2146,1.4463,0.0,0.0217,46.9875,0
10,0.87794,0.0,1.768,0.0,43.1476,1.4406,0.0,0.0228,46.4448,0
11,0.924515,0.0,1.7789,0.0,43.2487,1.4445,0.0,0.0213,46.56,0
12,0.97101,0.0,1.7705,0.0,43.1775,1.4449,0.0,0.0216,46.4807,0
13,1.017503,0.0,1.7646,0.0,43.1871,1.4417,0.0,0.021,46.4794,0
14,1.064662,0.0,1.7699,0.0,43.8454,1.4437,0.0,0.0208,47.1455,0
15,1.111228,0.0,1.7698,0.0,43.2424,1.4515,0.0,0.0215,46.5513,0
16,1.157715,0.0,1.762,0.0,43.18,1.4452,0.0,0.021,46.4736,0
17,1.204289,0.0,1.7766,0.0,43.2472,1.4499,0.0,0.0212,46.5609,0
18,1.250813,0.0,1.7696,0.0,43.2126,1.4417,0.0,0.021,46.5113,0
19,1.298317,0.0,1.772,0.0,44.1868,1.445,0.0,0.021,47.4905,0
20,1.34479,0.0,1.7804,0.0,43.1552,1.4374,0.0,0.0211,46.46,0
21,1.391283,0.0,1.7671,0.0,43.1881,1.438,0.0,0.0208,46.4791,0
22,1.437787,0.0,1.7626,0.0,43.2056,1.437,0.0,0.0209,46.4914,0
23,1.484303,0.0,1.768,0.0,43.2064,1.4417,0.0,0.021,46.5024,0
24,1.53083,0.0,1.7634,0.0,43.2177,1.4456,0.0,0.0209,46.5137,0
25,1.577335,0.0,1.7599,0.0,43.2024,1.4399,0.0,0.0215,46.4918,1
26,1.623851,0.0,1.7662,0.0,43.2055,1.4439,0.0,0.0218,46.5034,1
27,1.670336,0.0,1.7621,0.0,43.1744,1.4452,0.0,0.0219,46.4719,1
28,1.716854,0.0,1.774,0.0,43.1975,1.4463,0.0,0.0211,46.5048,1
29,1.763352,0.0,1.7689,0.0,43.1836,1.4426,0.0,0.0213,46.4849,1
30,1.810881,0.0,1.7603,0.0,44.2225,1.4444,0.0,0.0238,47.5155,1
31,1.857353,0.0,1.7599,0.0,43.1688,1.4438,0.0,0.022,46.4595,1
32,1.903883,0.0,1.7617,0.0,43.2186,1.4446,0.0,0.0249,46.5166,1
33,1.950348,0.0,1.7612,0.0,43.1632,1.441,0.0,0.0211,46.4522,1
34,1.996842,0.0,1.7605,0.0,43.1871,1.4484,0.0,0.0208,46.4813,1
35,2.043381,0.0,1.7616,0.0,43.2325,1.4433,0.0,0.0212,46.5274,1
36,2.090535,0.0,1.7568,0.0,43.8361,1.4484,0.0,0.0207,47.1276,1
37,2.137074,0.0,1.7628,0.0,43.2374,1.4385,0.0,0.0208,46.5262,1
38,2.183569,0.0,1.7638,0.0,43.1928,1.4405,0.0,0.0207,46.4826,1
39,2.230071,0.0,1.7696,0.0,43.1905,1.4429,0.0,0.0207,46.4893,1
40,2.276526,0.0,1.7612,0.0,43.1494,1.447,0.0,0.0203,46.4422,1
41,2.323913,0.0,1.7673,0.0,44.081,1.4413,0.0,0.0207,47.375,1
42,2.370357,0.0,1.7645,0.0,43.1457,1.4351,0.0,0.0207,46.4306,1
43,2.416898,0.0,1.7594,0.0,43.2407,1.4386,0.0,0.0212,46.5277,1
44,2.463369,0.0,1.764,0.0,43.1719,1.4378,0.0,0.022,46.4587,1
45,2.509846,0.0,1.7624,0.0,43.1773,1.44,0.0,0.0208,46.4641,1
46,2.556351,0.0,1.758,0.0,43.1949,1.4426,0.0,0.0211,46.485,1
47,2.602859,0.0,1.7611,0.0,43.189,1.4586,0.0,0.0213,46.4951,1
48,2.64938,0.0,1.7711,0.0,43.1992,1.4489,0.0,0.0213,46.5049,1
49,2.695849,0.0,1.761,0.0,43.1708,1.4393,0.0,0.0212,46.4566,1
50,2.742364,0.0,1.7616,0.0,43.2017,1.4467,0.0,0.0216,46.502,1
51,2.789788,0.0,1.7721,0.0,44.0624,1.4453,0.0,0.021,47.3671,1
52,2.836311,0.0,1.7688,0.0,43.2072,1.4494,0.0,0.0212,46.5101,1
53,2.882801,0.0,1.7607,0.0,43.1827,1.4464,0.0,0.0218,46.4769,1
54,2.929306,0.0,1.7604,0.0,43.2045,1.4426,0.0,0.0209,46.4929,1
55,2.975809,0.0,1.7619,0.0,43.1977,1.4454,0.0,0.0208,46.4902,1
56,3.022279,0.0,1.7574,0.0,43.1733,1.4404,0.0,0.0213,46.4564,1
57,3.069456,0.0,1.7675,0.0,43.867,1.4434,0.0,0.0209,47.1645,1
58,3.11597,0.0,1.7629,0.0,43.2135,1.4393,0.0,0.0212,46.5009,1
59,3.16249,0.0,1.7638,0.0,43.2185,1.4409,0.0,0.0207,46.5077,1
60,3.208998,0.0,1.7585,0.0,43.2103,1.4403,0.0,0.0208,46.4946,1
61,3.255854,0.0,1.7582,0.0,43.5381,1.4623,0.0,0.0206,46.8433,1
62,3.303556,0.0,1.9259,0.0,44.183,1.4519,0.0,0.0209,47.6893,1
63,3.350008,0.0,1.7589,0.0,43.1545,1.4408,0.0,0.0212,46.439,1
64,3.397293,0.0,1.765,0.0,43.9766,1.4467,0.0,0.0211,47.2733,1
65,3.443774,0.0,1.7649,0.0,43.1676,1.4497,0.0,0.0205,46.4677,1
66,3.490293,0.0,1.7641,0.0,43.2074,1.4472,0.0,0.0213,46.5069,1
67,3.536832,0.0,1.7662,0.0,43.2296,1.4445,0.0,0.0207,46.526,1
68,3.583335,0.0,1.763,0.0,43.1938,1.4463,0.0,0.0208,46.4902,1
69,3.629883,0.0,1.7649,0.0,43.2368,1.4459,0.0,0.0224,46.5351,1
70,3.676329,0.0,1.759,0.0,43.1416,1.445,0.0,0.0215,46.4329,1
71,3.722879,0.0,1.7625,0.0,43.2402,1.4448,0.0,0.024,46.5376,1
72,3.770196,0.0,1.769,0.0,44.0009,1.4488,0.0,0.0204,47.3043,1
73,3.817726,0.0,1.765,0.0,44.2254,1.4411,0.0,0.0208,47.5169,1
74,3.864248,0.0,1.7674,0.0,43.209,1.4483,0.0,0.0213,46.5102,1
75,3.910782,0.0,1.7635,0.0,43.2249,1.4462,0.0,0.0202,46.5214,1
76,3.957274,0.0,1.7696,0.0,43.1799,1.4435,0.0,0.0216,46.4789,1
77,4.003805,0.0,1.7672,0.0,43.2084,1.4556,0.0,0.0209,46.5174,1
78,4.050313,0.0,1.769,0.0,43.1931,1.4486,0.0,0.0208,46.495,1
79,4.097447,0.0,1.7627,0.0,43.8333,1.4413,0.0,0.0208,47.1216,1
80,4.143994,0.0,1.7638,0.0,43.2372,1.4485,0.0,0.0205,46.5346,1
81,4.19052,0.0,1.7619,0.0,43.2255,1.4405,0.0,0.0207,46.5129,1
82,4.236994,0.0,1.7608,0.0,43.1713,1.4452,0.0,0.0207,46.4618,1
83,4.28347,0.0,1.764,0.0,43.1627,1.4524,0.0,0.021,46.4641,1
84,4.331008,0.0,1.9939,0.0,44.0037,1.4419,0.0,0.0206,47.5246,1
85,4.37747,0.0,1.7658,0.0,43.1553,1.4412,0.0,0.0212,46.4485,1
86,4.423987,0.0,1.7627,0.0,43.2068,1.4484,0.0,0.0214,46.5048,1
87,4.470478,0.0,1.7628,0.0,43.1897,1.4386,0.0,0.0212,46.4778,1
88,4.516961,0.0,1.7616,0.0,43.1852,1.438,0.0,0.0212,46.4707,1
89,4.563469,0.0,1.7706,0.0,43.2028,1.4364,0.0,0.0208,46.4951,1
90,4.609969,0.0,1.7573,0.0,43.2018,1.4424,0.0,0.0205,46.4866,1
91,4.656436,0.0,1.7667,0.0,43.1621,1.4415,0.0,0.0208,46.455,1
92,4.702909,0.0,1.7637,0.0,43.1433,1.4687,0.0,0.0205,46.4599,1
93,4.749368,0.0,1.7687,0.0,43.1476,1.4448,0.0,0.0208,46.4458,1
94,4.796734,0.0,1.7638,0.0,44.0617,1.4427,0.0,0.0211,47.3532,1
95,4.843279,0.0,1.759,0.0,43.2427,1.4458,0.0,0.021,46.5323,1
96,4.889816,0.0,1.7748,0.0,43.2225,1.4416,0.0,0.0208,46.5243,1
97,4.936323,0.0,1.7687,0.0,43.1917,1.4458,0.0,0.0205,46.4942,1
98,4.982825,0.0,1.7613,0.0,43.202,1.4415,0.0,0.0209,46.4901,1
99,5.029456,0.0,1.7725,0.0,43.3151,1.4422,0.0,0.0207,46.6178,1
100,5.076592,0.0,1.7686,0.0,43.8267,1.4414,0.0,0.0224,47.1238,1
101,5.159443,0.0,2.435,0.0,44.6769,1.5853,0.0,0.0357,48.958,1
102,5.206783,0.0,1.8234,0.0,43.9418,1.4588,0.0,0.0228,47.319,1
103,5.253304,0.0,1.7855,0.0,43.1781,1.453,0.0,0.0216,46.5065,1
104,5.300823,0.0,1.767,0.0,44.2022,1.4477,0.0,0.0211,47.5054,1
105,5.347378,0.0,1.7953,0.0,43.2051,1.4482,0.0,0.0221,46.5408,1
106,5.39393,0.0,1.7715,0.0,43.2227,1.4558,0.0,0.0214,46.5386,1
107,5.440452,0.0,1.7644,0.0,43.2113,1.4454,0.0,0.0213,46.5086,1
108,5.486968,0.0,1.7692,0.0,43.2046,1.4427,0.0,0.0218,46.5028,1
109,5.533517,0.0,1.7664,0.0,43.2312,1.4514,0.0,0.0208,46.5342,1
110,5.58006,0.0,1.7715,0.0,43.22,1.4508,0.0,0.0211,46.5298,1
111,5.626578,0.0,1.7653,0.0,43.2054,1.4465,0.0,0.0212,46.5043,1
112,5.673067,0.0,1.7741,0.0,43.171,1.4421,0.0,0.0208,46.4752,1
113,5.719953,0.0,1.7644,0.0,43.5784,1.4433,0.0,0.0213,46.8727,1
114,5.766455,0.0,1.7601,0.0,43.1939,1.4494,0.0,0.021,46.4893,1
115,5.813857,0.0,1.7608,0.0,44.0971,1.4435,0.0,0.0212,47.3887,1
116,5.860351,0.0,1.7652,0.0,43.1533,1.4408,0.0,0.0213,46.447,1
117,5.906883,0.0,1.763,0.0,43.2232,1.4439,0.0,0.0239,46.5192,1
118,5.953389,0.0,1.775,0.0,43.1884,1.4415,0.0,0.021,46.4917,1
