frame_idx,t_wall_s,opus_ms,encode_main_ms,encode_other_ms,step_ms,decode_main_ms,decode_other_ms,d2h_ms,total_ms,warm
0,0.053591,0.0,3.3306,0.0,47.7745,2.1694,0.0,0.054,53.5036,0
1,0.102514,0.0,3.0732,0.0,43.6,2.1068,0.0,0.0252,48.8693,0
2,0.151147,0.0,3.0346,0.0,43.3995,2.102,0.0,0.0244,48.6177,0
3,0.199698,0.0,2.9441,0.0,43.4158,2.0984,0.0,0.0209,48.5356,0
4,0.248265,0.0,2.9382,0.0,43.4434,2.095,0.0,0.0201,48.5531,0
5,0.296832,0.0,2.9346,0.0,43.4458,2.0964,0.0,0.0207,48.5525,0
6,0.346218,0.0,2.9489,0.0,44.2575,2.0897,0.0,0.02,49.3714,0
7,0.394753,0.0,2.9423,0.0,43.41,2.0943,0.0,0.0204,48.5216,0
8,0.443361,0.0,2.9398,0.0,43.4863,2.0942,0.0,0.0198,48.5946,0
9,0.491893,0.0,2.9325,0.0,43.4188,2.0919,0.0,0.0195,48.5176,0
10,0.540489,0.0,2.93,0.0,43.4793,2.0983,0.0,0.0193,48.5824,0
11,0.589065,0.0,2.9412,0.0,43.4512,2.0947,0.0,0.0197,48.5631,0
12,0.637646,0.0,2.9286,0.0,43.4777,2.0875,0.0,0.0194,48.5677,0
13,0.686189,0.0,2.94,0.0,43.4266,2.0899,0.0,0.0195,48.5302,0
14,0.734765,0.0,2.9395,0.0,43.4483,2.0921,0.0,0.0193,48.5542,0
15,0.783352,0.0,2.9315,0.0,43.4738,2.0949,0.0,0.0195,48.5737,0
16,0.831915,0.0,2.9325,0.0,43.4554,2.0899,0.0,0.0194,48.5507,0
17,0.881475,0.0,2.9267,0.0,44.4319,2.1147,0.0,0.019,49.5465,0
18,0.930059,0.0,2.9434,0.0,43.4679,2.0875,0.0,0.0198,48.5708,0
19,0.978602,0.0,2.9334,0.0,43.4307,2.0916,0.0,0.0194,48.5296,0
20,1.027226,0.0,2.9285,0.0,43.4156,2.1937,0.0,0.0196,48.6114,0
