frame_idx,t_wall_s,opus_ms,encode_main_ms,encode_other_ms,step_ms,decode_main_ms,decode_other_ms,d2h_ms,total_ms,warm
0,0.047292,0.0,2.6143,0.0,42.3768,1.9437,0.0,0.051,47.1992,0
1,0.089616,0.0,2.1583,0.0,38.5426,1.4681,0.0,0.0264,42.27,0
2,0.493393,0.0,1.9251,0.0,37.7353,363.9498,0.0,0.0771,403.761,0
3,0.534349,0.0,2.3702,0.0,36.8415,1.5523,0.0,0.0321,40.931,0
4,0.57625,0.0,1.9077,0.0,38.3814,1.4792,0.0,0.0275,41.8834,0
5,0.619288,0.0,1.8441,0.0,39.5107,1.5685,0.0,0.0245,43.0223,0
6,0.661486,0.0,2.0862,0.0,38.1509,1.8428,0.0,0.0258,42.1827,0
7,0.703555,0.0,2.1633,0.0,38.0781,1.7202,0.0,0.023,42.0546,0
8,0.745501,0.0,1.9148,0.0,38.3947,1.5331,0.0,0.0217,41.9316,0
9,0.787409,0.0,1.7827,0.0,38.5748,1.4479,0.0,0.0223,41.8945,0
10,0.829215,0.0,1.7746,0.0,38.4765,1.4481,0.0,0.0213,41.791,0
11,0.871135,0.0,1.7884,0.0,38.5763,1.4536,0.0,0.0212,41.9059,0
12,0.913006,0.0,1.7745,0.0,38.5432,1.4522,0.0,0.0218,41.8562,0
13,0.954805,0.0,1.7748,0.0,38.4778,1.4478,0.0,0.0216,41.7866,0
14,0.995685,0.0,1.7769,0.0,37.5594,1.4452,0.0,0.0205,40.867,0
15,1.037481,0.0,1.771,0.0,38.4767,1.4505,0.0,0.0199,41.7825,0
16,1.080258,0.0,1.8808,0.0,38.7708,2.0255,0.0,0.0216,42.7637,0
17,1.123279,0.0,2.0442,0.0,39.1576,1.7176,0.0,0.022,43.0072,0
18,1.165207,0.0,1.842,0.0,38.4063,1.5782,0.0,0.0213,41.9157,0
19,1.20688,0.0,1.7709,0.0,38.3576,1.4456,0.0,0.0214,41.6599,0
